threshold,exit1_rate,exit2_rate
0.0,100.0,100.0
0.01,100.0,100.0
0.02,100.0,100.0
0.03,100.0,100.0
0.04,100.0,100.0
0.05,100.0,100.0
0.06,100.0,100.0
0.07,100.0,100.0
0.08,100.0,100.0
0.09,100.0,100.0
0.1,100.0,100.0
0.11,100.0,100.0
0.12,100.0,100.0
0.13,100.0,100.0
0.14,100.0,100.0
0.15,100.0,100.0
0.16,100.0,100.0
0.17,100.0,100.0
0.18,100.0,100.0
0.19,100.0,100.0
0.2,100.0,100.0
0.21,100.0,100.0
0.22,100.0,100.0
0.23,100.0,100.0
0.24,100.0,100.0
0.25,100.0,100.0
0.26,100.0,99.99
0.27,100.0,99.99
0.28,100.0,99.99
0.29,99.98,99.99
0.3,99.98,99.99
0.31,99.98,99.99
0.32,99.98,99.99
0.33,99.97,99.98
0.34,99.97,99.98
0.35000000000000003,99.96,99.97
0.36,99.96,99.92
0.37,99.96,99.91
0.38,99.96,99.87
0.39,99.94,99.83
0.4,99.93,99.82
0.41000000000000003,99.89,99.76
0.42,99.83,99.74
0.43,99.82,99.71
0.44,99.78,99.65
0.45,99.74,99.6
0.46,99.65,99.55
0.47000000000000003,99.55,99.47
0.48,99.48,99.38
0.49,99.39,99.28
0.5,99.26,99.19
0.51,99.15,98.95
0.52,98.94,98.71
0.53,98.73,98.54
0.54,98.52,98.33
0.55,98.37,98.04
0.56,98.17,97.87
0.5700000000000001,97.98,97.64
0.58,97.79,97.48
0.59,97.62,97.24
0.6,97.45,97.12
0.61,97.28,96.95
0.62,97.09,96.79
0.63,96.83,96.55
0.64,96.69,96.3
0.65,96.32,96.13
0.66,96.08,95.92
0.67,95.84,95.68
0.68,95.66,95.51
0.6900000000000001,95.46,95.33
0.7000000000000001,95.29,95.12
0.71,95.06,94.91
0.72,94.78,94.65
0.73,94.51,94.42
0.74,94.36,94.23
0.75,94.08,94.06
0.76,93.85,93.84
0.77,93.67,93.68
0.78,93.41,93.42
0.79,93.2,93.16
0.8,92.88,92.89
0.81,92.67,92.61
0.8200000000000001,92.37,92.28
0.8300000000000001,92.07,91.97
0.84,91.7,91.6
0.85,91.31,91.25
0.86,90.98,90.95
0.87,90.58,90.57
0.88,90.2,90.15
0.89,89.81,89.66
0.9,89.28,89.25
0.91,88.66,88.75
0.92,88.2,88.21
0.93,87.65,87.53
0.9400000000000001,86.91,86.98
0.9500000000000001,86.15,86.14
0.96,85.22,85.2
0.97,84.03,83.94
0.98,82.58,82.13
0.99,79.92,79.3
1.0,37.3,36.77
