stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
after_layer3_block5,1,1.181876329498291,59.528,0.9199080220222473,68.44,68.44
after_layer3_block5,2,0.9550182328414917,67.086,0.7957885080337525,73.43,73.43
after_layer3_block5,3,0.8917865287780762,69.286,0.7519546305656433,75.07,75.07
after_layer3_block5,4,0.8613798013305664,70.03,0.7589370139122009,74.01,75.07
after_layer3_block5,5,0.8322418165969848,71.33,0.7123845120429992,76.49,76.49
after_layer3_block5,6,0.8181595579719544,71.764,0.700653464269638,76.69,76.69
after_layer3_block5,7,0.8193682397842407,71.704,0.7191765855789185,75.84,76.69
after_layer3_block5,8,0.7941048722457886,72.584,0.6859195080757141,76.33,76.69
after_layer3_block5,9,0.7885712782669068,72.724,0.7828862294197082,73.51,76.69
after_layer3_block5,10,0.7782788256072998,73.388,0.7420035531997681,74.42,76.69
after_layer3_block5,11,0.7763930525016784,73.194,0.7179377717971802,75.84,76.69
after_layer3_block5,12,0.7680923069763184,73.46,0.6888770942687988,76.83,76.83
after_layer3_block5,13,0.7565310451507569,73.924,0.6646568146705627,77.45,77.45
after_layer3_block5,14,0.760128901462555,73.928,0.6239456857204437,79.0,79.0
after_layer3_block5,15,0.751976578464508,74.336,0.7176009685516357,75.91,79.0
after_layer3_block5,16,0.7400910311508179,74.474,0.6566587034225464,78.21,79.0
after_layer3_block5,17,0.7495343432044983,74.364,0.6307359120845795,78.43,79.0
after_layer3_block5,18,0.7380769069290161,74.686,0.618499752998352,79.26,79.26
after_layer3_block5,19,0.7439094142913818,74.46,0.6360741555213928,78.63,79.26
after_layer3_block5,20,0.7332244817352295,74.616,0.6134711610794067,79.61,79.61
after_layer3_block5,21,0.7295272959995269,74.97,0.6364009806632995,78.66,79.61
after_layer3_block5,22,0.7279178772735596,75.04,0.5905933969974518,80.18,80.18
after_layer3_block5,23,0.7248613972568512,74.908,0.602462522649765,79.48,80.18
after_layer3_block5,24,0.7156745944976807,75.28,0.6047962661266327,79.78,80.18
after_layer3_block5,25,0.7160753846740723,75.35,0.6642919404506683,77.69,80.18
after_layer3_block5,26,0.7117051343154908,75.398,0.6309203885555267,78.57,80.18
after_layer3_block5,27,0.7160364478302002,75.354,0.6904248331069947,76.67,80.18
after_layer3_block5,28,0.7103504471969605,75.26,0.6436090271949768,78.21,80.18
