threshold,final_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_rate,after_layer3_accuracy
0.0,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.01,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.02,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.03,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.04,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.05,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.06,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.07,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.08,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.09,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.1,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.11,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.12,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.13,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.14,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.15,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.16,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.17,63.16999793052673,100.0,63.16999816894531,100.0,85.29000091552734
0.18,63.178199291229255,99.99179863929747,63.17518135070801,100.0,85.29000091552734
0.19,63.22859799861908,99.92520207166672,63.20918643951416,100.0,85.29000091552734
0.2,63.25600028038025,99.86199975013731,63.23126068115234,100.0,85.29000091552734
0.21,63.28370016813278,99.67619836330414,63.27379974365235,100.0,85.29000091552734
0.22,63.36020231246948,99.48959815502167,63.32643432617188,100.0,85.29000091552734
0.23,63.480101227760315,99.25749832391739,63.41469776153564,100.0,85.29000091552734
0.24,63.654402017593384,98.9188015460968,63.57954772949219,100.0,85.29000091552734
0.25,63.850000500679016,98.45499843358994,63.729756355285645,99.992498755455,85.28889656066895
0.26,64.19600045681,97.80459809303282,64.00951805114747,99.9752002954483,85.30115798950196
