stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
final,1,1.929379095916748,28.182,1.6263224479675293,39.0,39.0
final,2,1.639712239227295,39.616,1.702144476890564,50.87,50.87
final,3,1.4266123361968994,48.532,2.478008716583252,53.72,53.72
final,4,1.3145543920135498,52.94,1.229526949119568,57.16,57.16
final,5,1.21188177192688,56.896,0.9787504603385925,64.95,64.95
final,6,1.1134490797805787,60.342,0.8871139600753785,69.01,69.01
final,7,1.053588975429535,62.54,0.8432241472244263,71.36,71.36
final,8,0.9932513359069824,65.036,0.7385273191452026,74.53,74.53
final,9,0.9455283884811402,66.778,0.6946691291809082,76.05,76.05
final,10,0.9017832334136963,68.3,0.6635495355606079,76.86,76.86
final,11,0.8709084630584717,69.554,0.599193558883667,79.32,79.32
final,12,0.8464201161193847,70.306,0.5818241716384888,80.44,80.44
final,13,0.8007996401596069,71.98,0.5520374774456024,81.3,81.3
final,14,0.7709527758216858,72.924,0.5160932271003723,82.58,82.58
final,15,0.7523592652702331,73.808,0.5618395844459534,81.33,82.58
final,16,0.7228655703735352,74.72,0.5155095831155777,82.85,82.85
final,17,0.7132001902484894,75.012,0.5068955087661743,83.44,83.44
final,18,0.7018751629257202,75.43,0.48532550139427183,83.25,83.44
final,19,0.7082096571350097,75.242,0.4768745228290558,84.59,84.59
final,20,0.65807192527771,77.002,1.0511481682300567,83.48,84.59
final,21,0.6441938229084014,77.542,0.3895858374595642,86.81,86.81
final,22,0.623586875743866,78.216,0.4976715896606445,84.76,86.81
final,23,0.6055753239917755,78.708,0.4172304019451141,85.91,86.81
final,24,0.5994257699203491,79.148,0.5000961505889893,86.41,86.81
final,25,0.5881393483543396,79.192,0.4354514983415604,85.14,86.81
final,26,0.5679783472061157,80.186,0.40641161804199216,86.85,86.85
final,27,0.556196534538269,80.462,0.551140657043457,84.25,86.85
final,28,0.5483734741687775,80.968,0.7115532202720642,86.12,86.85
final,29,0.5434941572761536,81.012,0.36344045038223266,87.9,87.9
final,30,0.5326120878219605,81.462,0.5283514111995697,88.37,88.37
final,31,0.5233516818714142,81.782,0.4111022608280182,88.49,88.49
final,32,0.5081819305515289,82.262,0.32212452278137205,89.32,89.32
final,33,0.5019284028244019,82.536,0.36225048990249636,88.76,89.32
final,34,0.49880740960121156,82.766,0.5082038621902466,88.73,89.32
final,35,0.487500958442688,82.992,1.4832258072376252,87.35,89.32
final,36,0.4837691413116455,83.206,0.5921800499916077,87.73,89.32
final,37,0.47327202363967896,83.56,0.3506450218677521,89.22,89.32
final,38,0.4576835523414612,83.722,0.7376070982933044,88.21,89.32
final,39,0.46455569764137267,83.68,0.34286366562843323,89.75,89.75
final,40,0.4556512157726288,84.042,0.3377304803371429,89.31,89.75
final,41,0.445312789516449,84.544,0.6617394158363342,89.11,89.75
final,42,0.4428839192199707,84.546,0.3291574161529541,90.07,90.07
final,43,0.4311727722549438,84.994,0.32316099958419797,90.36,90.36
final,44,0.4279030708885193,85.034,0.3103284632205963,90.75,90.75
final,45,0.4193860012817383,85.35,0.37041780846118927,90.32,90.75
final,46,0.41546464490890506,85.53,0.6520060231208801,89.76,90.75
final,47,0.4100763091087341,85.634,0.3101554481983185,90.82,90.82
final,48,0.40534828505992887,85.85,0.44263380961418153,89.19,90.82
final,49,0.41415033315658567,85.592,0.6370119344711304,89.31,90.82
final,50,0.40041292023658753,86.016,0.3306731895685196,90.96,90.96
final,51,0.3861247798728943,86.548,0.31062663650512695,90.53,90.96
final,52,0.3880599143385887,86.472,2.295210966396332,87.89,90.96
final,53,0.38079332906723024,86.614,0.438122181558609,89.44,90.96
final,54,0.3939779095888138,86.292,0.43039888401031495,90.61,90.96
final,55,0.3760909278297424,86.99,0.9537850651979446,89.45,90.96
final,56,0.377450008354187,86.708,0.8885410967350006,89.1,90.96
final,57,0.36376690906524656,87.52,0.36637472109794617,90.46,90.96
final,58,0.3636870339393616,87.34,0.5089620545864105,90.27,90.96
final,59,0.3657810164833069,87.106,0.3843402058839798,91.14,91.14
final,60,0.3574678336048126,87.424,0.5526137254953385,90.27,91.14
final,61,0.3551079213142395,87.642,1.1801468682289125,89.06,91.14
final,62,0.34662718535900117,87.84,0.7712419720649719,89.51,91.14
final,63,0.3522599426841736,87.758,1.4614240777492524,88.66,91.14
final,64,0.34340047342300417,88.026,1.1784661012411117,90.26,91.14
final,65,0.33598080742120745,88.274,0.37470473403930665,91.58,91.58
final,66,0.3341697190952301,88.314,0.6012837939977645,90.54,91.58
final,67,0.33798797766685484,88.148,2.7662822418928146,88.1,91.58
final,68,0.3319249952507019,88.392,2.2592240791797638,88.1,91.58
final,69,0.326102424223423,88.68,2.984040595364571,88.22,91.58
final,70,0.31761887335777284,88.898,5.301092765140534,87.8,91.58
final,71,0.3199126712226868,88.834,0.6143138522863388,90.51,91.58
final,72,0.3255955634558201,88.71,0.40214635965824125,91.32,91.58
final,73,0.31187890712499616,89.076,0.7735035263419151,90.01,91.58
final,74,0.31427919156074524,88.892,1.075578026676178,90.21,91.58
final,75,0.3169865213394165,88.886,0.46058048331737517,90.82,91.58
final,76,0.32009594534873964,88.9,0.8347762198448181,90.72,91.58
final,77,0.3066361135220528,89.236,0.5259220571041107,90.75,91.58
final,78,0.3058638765335083,89.27,0.35056602919101715,91.99,91.99
final,79,0.30188410143852235,89.514,0.49147767626047134,90.77,91.99
final,80,0.30408799221515653,89.406,0.3056507297039032,91.74,91.99
final,81,0.3027069373703003,89.476,0.603678813958168,91.26,91.99
final,82,0.29474647169709206,89.784,1.233861790087819,90.57,91.99
final,83,0.2937517327404022,89.87,0.32187669377326966,92.15,92.15
final,84,0.2901596269130707,89.766,3.1959785977602007,90.18,92.15
final,85,0.29153225847244263,89.784,1.3077435973525047,90.67,92.15
final,86,0.29327167395591736,89.794,0.3535095332741737,91.64,92.15
final,87,0.29065782828450204,89.814,0.4886542738676071,91.98,92.15
final,88,0.28377863297462463,90.148,0.9031209437251091,90.87,92.15
final,89,0.28425674834728243,90.216,0.50315717253685,91.67,92.15
final,90,0.27899735434532164,90.402,1.3877382418632507,91.3,92.15
final,91,0.2775283938840032,90.368,5.5568738439559935,89.36,92.15
final,92,0.2899614572429657,89.918,1.3663475019454956,90.65,92.15
final,93,0.2761629679489136,90.466,1.5806967666149139,91.13,92.15
final,94,0.273614191904068,90.658,0.6043990005612373,91.21,92.15
final,95,0.2733949628353119,90.598,1.9875483959436417,88.47,92.15
final,96,0.27447220865249633,90.49,5.128758556795121,89.51,92.15
final,97,0.2713705733346939,90.696,2.464240298986435,90.31,92.15
final,98,0.27097270810604096,90.418,0.892652624297142,90.68,92.15
final,99,0.27105356532096864,90.598,0.4257789874315262,92.0,92.15
final,100,0.26756838299751284,90.728,0.4022935080766678,92.22,92.22
