stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
after_layer3_block5,1,3.3216204257029656,23.79380965261409,3.024912341308594,29.04,29.04
after_layer3_block5,2,2.9157858874846743,31.366745237451216,2.8967564445495606,31.26,31.26
after_layer3_block5,3,2.780277910808898,34.13655859963677,2.9698085609436036,32.3,32.3
after_layer3_block5,4,2.6931219663413257,35.93879207079099,2.785497197341919,35.2,35.2
after_layer3_block5,5,2.6368573875265837,37.18536264925229,2.824916939163208,36.38,36.38
after_layer3_block5,6,2.5825360437196623,38.209358939680826,2.5900725259780883,38.6,38.6
after_layer3_block5,7,2.5545414078700412,39.13597897909502,2.6973356084823608,37.18,38.6
after_layer3_block5,8,2.524263899292882,39.891804165539625,2.6881032283782957,38.36,38.6
after_layer3_block5,9,2.503150728321079,40.312222265157075,2.5101118972778322,39.56,39.56
after_layer3_block5,10,2.4637081584862615,40.91270914641215,2.5754632583618164,39.2,39.56
after_layer3_block5,11,2.4541906791159156,41.34162834730863,2.539972191810608,40.1,40.1
after_layer3_block5,12,2.4366699909435146,41.798369334209205,2.496109095001221,42.44,42.44
after_layer3_block5,13,2.412502347012061,42.20719502299161,2.502996139907837,40.44,42.44
after_layer3_block5,14,2.402792619935668,42.449089995749446,2.4678373664855955,41.2,42.44
after_layer3_block5,15,2.401073138716324,42.50086943081263,2.5330539306640625,40.76,42.44
after_layer3_block5,16,2.3707643674336536,42.95529193554619,2.6064606084823607,40.98,42.44
after_layer3_block5,17,2.362209672200781,43.189458634414,2.490185402107239,41.76,42.44
after_layer3_block5,18,2.354900283558097,43.537230959465205,2.54872713842392,40.56,42.44
after_layer3_block5,19,2.343877274229379,43.84017929595425,2.4091407779693603,43.26,43.26
after_layer3_block5,20,2.341632412999973,43.855635843734305,2.3147613216400145,44.92,44.92
after_layer3_block5,21,2.3224892451215084,44.35333668225202,2.433541704940796,42.92,44.92
after_layer3_block5,22,2.327216764675456,44.21345492484254,2.366284568595886,43.38,44.92
after_layer3_block5,23,2.3088594209678464,44.58827620850883,2.4048523761749268,43.78,44.92
after_layer3_block5,24,2.3063068775891327,44.604505583677884,2.4897088205337523,41.76,44.92
after_layer3_block5,25,2.2988303092841713,44.77375478186947,2.514060745048523,41.8,44.92
after_layer3_block5,26,2.2890554423457323,45.17098805981684,2.402431203460693,44.04,44.92
after_layer3_block5,27,2.286306969563667,45.09679663047258,2.356643158054352,44.4,44.92
after_layer3_block5,28,2.276324578305154,45.57904092121025,2.42915452747345,43.52,44.92
after_layer3_block5,29,2.269447056837836,45.39974496696163,2.3793859554290773,43.9,44.92
after_layer3_block5,30,2.259162355614453,45.74288032767881,2.3981258460998536,43.68,44.92
after_layer3_block5,31,2.2616081620622506,45.671007380501564,2.3707301540374757,44.24,44.92
after_layer3_block5,32,2.246834260407019,45.94381544881951,2.370842413711548,44.32,44.92
after_layer3_block5,33,2.252287972762497,45.92449476409444,2.3824671796798707,44.1,44.92
after_layer3_block5,34,2.241116079133806,46.06514934889292,2.3530193431854247,44.96,44.96
after_layer3_block5,35,2.240568256744844,46.29313342864871,2.320817865562439,46.0,46.0
after_layer3_block5,36,2.229242297251445,46.419104293056144,2.4280455568313597,44.42,46.0
after_layer3_block5,37,2.2306035296156628,46.27922253564666,2.528257919120789,43.72,46.0
after_layer3_block5,38,2.233358823936622,46.51879902623749,2.320932266807556,46.4,46.4
after_layer3_block5,39,2.2185092648719498,46.7529657251053,2.3955631196975706,44.36,46.4
after_layer3_block5,40,2.2295759553090098,46.44383476950423,2.3853894377708436,43.76,46.4
