threshold,final_accuracy,after_layer3_block5_rate,after_layer3_block5_accuracy,after_layer3_block10_rate,after_layer3_block10_accuracy,after_layer3_block15_rate,after_layer3_block15_accuracy,after_layer3_block20_rate,after_layer3_block20_accuracy,after_layer4_rate,after_layer4_accuracy,after_layer3_block5_sequential_rate,after_layer3_block5_sequential_accuracy,after_layer3_block10_sequential_rate,after_layer3_block10_sequential_accuracy,after_layer3_block15_sequential_rate,after_layer3_block15_sequential_accuracy,after_layer3_block20_sequential_rate,after_layer3_block20_sequential_accuracy,after_layer4_sequential_rate,after_layer4_sequential_accuracy,final_rate,overall_accuracy
0.0,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.01,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.02,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.03,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.04,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.05,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.06,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,100.0,75.68,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.07,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,99.98,75.69513902780557,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.08,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,99.96,75.71028411364546,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.09,74.04,100.0,48.18,100.0,55.3,100.0,59.16,100.0,63.24,99.94,75.70542325395238,100.0,48.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.1,74.04,99.98,48.189637927585515,100.0,55.3,100.0,59.16,100.0,63.24,99.94,75.70542325395238,99.98,48.189637927585515,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.18
0.11,74.04,99.84,48.25721153846154,100.0,55.3,99.98,59.17183436687338,100.0,63.24,99.92,75.70056044835869,99.84,48.25721153846154,0.16,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.22
0.12,74.04,99.72,48.31528279181709,99.98,55.29105821164233,99.96,59.183673469387756,100.0,63.24,99.74,75.83717665931422,99.72,48.31528279181709,0.28,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.22
0.13,74.04,99.32,48.50986709625453,99.82,55.37968343017431,99.9,59.1991991991992,99.9,63.26326326326326,99.64,75.91328783621036,99.32,48.50986709625453,0.68,17.647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3
0.14,74.04,99.12,48.58757062146893,99.64,55.47972701726214,99.8,59.258517034068134,99.78,63.33934656243736,99.56,75.95419847328245,99.12,48.58757062146893,0.88,22.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.36
0.15,74.04,98.5,48.85279187817259,99.4,55.61368209255533,99.68,59.329855537720704,99.68,63.38282504012841,99.4,76.03621730382294,98.5,48.85279187817259,1.5,26.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52
0.16,74.04,98.12,49.001222992254384,99.04,55.73505654281099,99.38,59.48883075065405,99.54,63.43178621659634,99.14,76.2154528948961,98.12,49.001222992254384,1.78,24.719101123595507,0.08,25.0,0.02,0.0,0.0,0.0,0.0,48.54
0.17,74.04,97.54,49.25158909165471,98.6,55.94320486815416,99.08,59.64876867178038,99.42,63.48823174411587,98.78,76.43247620975906,97.54,49.25158909165471,2.24,26.785714285714285,0.14,28.571428571428573,0.08,25.0,0.0,0.0,0.0,48.7
0.18,74.04,96.86,49.452818500929176,98.04,56.16075071399429,98.66,59.902696128116766,99.26,63.57042111626033,98.64,76.52068126520682,96.86,49.452818500929176,2.86,28.67132867132867,0.2,20.0,0.08,25.0,0.0,0.0,0.0,48.78
0.19,74.04,96.08,49.791840133222316,97.52,56.39868744872847,98.3,60.08138351983723,99.02,63.64370834174914,98.34,76.67276794793574,96.08,49.791840133222316,3.58,29.608938547486034,0.26,15.384615384615385,0.08,25.0,0.0,0.0,0.0,48.96
0.2,74.04,95.26,50.03149275666597,97.1,56.519052523171986,97.88,60.29832447895382,98.82,63.73203804897794,98.08,76.81484502446982,95.26,50.03149275666597,4.28,30.8411214953271,0.26,15.384615384615385,0.16,37.5,0.04,50.0,0.0,49.1
