image_id,true_label,pred_label,correct,confidence,entropy
0,3,3,True,1.0,4.581879764486985e-09
1,8,8,True,0.9999995231628418,7.365886176557979e-06
2,8,8,True,0.9982149600982666,0.013498391024768353
3,0,9,False,0.5379413962364197,0.7977170944213867
4,6,6,True,1.0,1.8178615557307154e-10
5,6,6,True,0.9999028444290161,0.001000769785605371
6,1,9,False,0.5251635313034058,0.6932566165924072
7,6,2,False,0.9406018257141113,0.22854068875312805
8,3,3,True,0.9999905824661255,0.00011851861199829727
9,1,1,True,0.9997177720069885,0.0028567775152623653
10,0,0,True,0.9999990463256836,1.4517249837808777e-05
11,9,9,True,1.0,4.215569733567737e-12
12,5,5,True,0.9856963157653809,0.07500684261322021
13,7,7,True,0.9999991655349731,1.2425090062606614e-05
14,9,9,True,1.0,1.7057707676904066e-11
15,8,8,True,0.9988498687744141,0.009732142090797424
16,5,5,True,0.9999980926513672,2.818089706124738e-05
17,7,7,True,0.999984860420227,0.00018958405416924506
18,8,8,True,1.0,2.015649869235858e-09
19,6,6,True,1.0,8.996441636099917e-08
20,7,7,True,0.9999582767486572,0.000494245148729533
21,0,0,True,0.7537904381752014,0.5581365823745728
22,4,4,True,0.5688700079917908,0.9634212255477905
23,9,9,True,1.0,2.3359564066058325e-13
24,5,4,False,0.997256338596344,0.018975313752889633
25,2,5,False,0.8932625651359558,0.41361889243125916
26,4,3,False,0.5354397892951965,1.0752381086349487
27,0,0,True,0.9999972581863403,4.108467692276463e-05
28,9,9,True,0.9999998807907104,2.732342863964732e-06
29,6,6,True,0.9998592138290405,0.001538684475235641
30,6,6,True,0.9999613761901855,0.00043175689643248916
31,5,5,True,0.9999990463256836,1.4433127034862991e-05
32,4,4,True,0.9971600770950317,0.02159039117395878
33,5,5,True,0.9971893429756165,0.023739363998174667
34,9,9,True,1.0,3.2268224203768625e-10
35,2,8,False,0.9999778270721436,0.0002828321885317564
36,4,4,True,0.9999994039535522,9.494520782027394e-06
37,1,1,True,0.949207603931427,0.20084339380264282
38,9,9,True,1.0,2.564529144599703e-10
39,5,5,True,1.0,1.515056661941308e-13
40,4,4,True,1.0,4.43412424833145e-11
41,6,6,True,0.9999998807907104,1.3167125416657655e-06
42,5,5,True,0.9999988079071045,1.7696649592835456e-05
43,6,6,True,0.9999349117279053,0.0007260660058818758
44,0,0,True,0.9999979734420776,3.084267518715933e-05
45,9,9,True,1.0,2.3402108029202395e-10
46,3,3,True,0.9998132586479187,0.0018108892254531384
47,9,8,False,0.9443982243537903,0.2214912623167038
48,7,7,True,0.9999998807907104,1.5429682207468431e-06
49,6,2,False,0.4277305006980896,1.0230294466018677
50,9,9,True,0.9999959468841553,5.5683147365925834e-05
51,8,8,True,1.0,1.5345618109563475e-08
52,0,0,True,0.8794519901275635,0.36884576082229614
53,3,3,True,0.9403663873672485,0.27725622057914734
54,8,8,True,1.0,8.989986489613133e-13
55,8,8,True,1.0,7.139225877139665e-10
56,7,7,True,0.9999998807907104,2.086970653181197e-06
57,7,3,False,0.9866880774497986,0.07852783054113388
58,4,5,False,0.615906834602356,0.6726402640342712
59,6,3,False,0.9922448992729187,0.05193158611655235
60,7,7,True,1.0,1.7392322027021123e-09
61,3,5,False,0.9743829369544983,0.1222425177693367
62,6,6,True,0.9997828602790833,0.0022637168876826763
63,3,3,True,0.9999517202377319,0.0005316773313097656
64,6,6,True,0.9998592138290405,0.0014183364110067487
65,2,2,True,0.9997164607048035,0.002634584903717041
66,1,1,True,1.0,4.714165502406331e-09
67,2,2,True,0.9999994039535522,9.283892723033205e-06
68,3,3,True,0.9935085773468018,0.042660098522901535
69,7,7,True,0.923011302947998,0.31460118293762207
70,2,2,True,0.9589513540267944,0.21603061258792877
71,6,6,True,0.9999799728393555,0.00023720302851870656
72,8,8,True,1.0,1.687537332095701e-10
73,8,8,True,1.0,1.8133709811518628e-10
74,0,0,True,0.8685598969459534,0.40504321455955505
75,2,2,True,1.0,9.77970060489497e-09
76,9,9,True,0.9999998807907104,2.5667961836006725e-06
77,3,3,True,0.9991902709007263,0.00700688362121582
78,3,5,False,0.9739610552787781,0.12076492607593536
79,8,8,True,1.0,2.83190047412063e-07
80,8,8,True,1.0,1.8663828882381495e-07
81,1,1,True,0.8876387476921082,0.3514805734157562
82,1,1,True,1.0,1.6682919694137321e-13
83,7,7,True,0.999769389629364,0.002185250399634242
