epoch,stage,train_loss,train_acc,val_loss,val_acc
1,Stage‑1,1.5695857486094942,42.855555555555554,1.3662190648573864,50.3
2,Stage‑1,1.0734593912281774,61.43333333333333,1.0065100909788398,63.42
3,Stage‑1,0.8694859172894873,69.16,0.8473572791377201,70.06
4,Stage‑1,0.7205976772714745,74.73555555555555,0.7277137308935576,74.82
5,Stage‑1,0.6150690667669881,78.54888888888888,0.7082305460036555,75.4
6,Stage‑1,0.5396013703377155,81.13111111111111,0.5700093994412241,80.04
7,Stage‑1,0.4780893401581455,83.33111111111111,0.6146081093745895,79.78
8,Stage‑1,0.41961083010855044,85.3711111111111,0.5477220340620114,80.7
9,Stage‑1,0.37756467443382874,86.90222222222222,0.5124963616268544,83.06
10,Stage‑1,0.33660201353698294,88.29555555555555,0.47774227359626864,83.4
11,Stage‑1,0.2948662344768474,89.73777777777778,0.4997623860836029,83.56
12,Stage‑1,0.25887668813282455,90.88222222222223,0.48653533267258087,83.78
13,Stage‑1,0.2384671541671692,91.59777777777778,0.4491385279954234,85.46
14,Stage‑1,0.20078998561736874,92.78,0.45303888288857064,86.02
15,Stage‑1,0.17456816354057414,93.82666666666667,0.52746989606302,83.32
16,Stage‑1,0.15215264721932312,94.52888888888889,0.4420040527806629,87.36
17,Stage‑1,0.13852776266735004,95.22444444444444,0.48556877172823193,85.4
18,Stage‑1,0.11984490284257018,95.75777777777778,0.5758462677462192,84.84
19,Stage‑1,0.10591201977777845,96.20222222222222,0.5508017738031435,85.26
20,Stage‑1,0.09772657050449528,96.55111111111111,0.5536835389801219,86.52
21,Stage‑1,0.08696920758600092,96.96666666666667,0.583897651986608,85.68
22,Stage‑1,0.07764276791567681,97.24,0.5624650840800774,85.96
23,Stage‑1,0.07925886388736879,97.16666666666667,0.6056032017495224,85.66
24,Stage‑1,0.0679362269440224,97.57555555555555,0.5736656628454788,85.84
25,Stage‑1,0.06818151011777279,97.56666666666666,0.6343936896882951,85.34
26,Stage‑1,0.05883682692133747,97.97555555555556,0.5286885799863671,87.4
27,Stage‑1,0.06043400499699849,97.86666666666666,0.5800984077851135,85.96
28,Stage‑1,0.05146111409397814,98.2088888888889,0.7135107257002611,85.14
29,Stage‑1,0.058204958880113816,97.96888888888888,0.5811541830101109,86.82
30,Stage‑1,0.047230565470851034,98.36222222222223,0.6038702351948882,86.44
31,Stage‑1,0.050938310190097334,98.2311111111111,0.5604190792110336,87.6
32,Stage‑1,0.04062722041718106,98.59333333333333,0.5834152318619757,87.42
33,Stage‑1,0.04246156992634682,98.55555555555556,0.606737529570119,86.74
34,Stage‑1,0.03999683385526706,98.63555555555556,0.583180664602337,87.0
35,Stage‑1,0.04296121639510437,98.47111111111111,0.5863284372453448,86.96
36,Stage‑1,0.04527365115051329,98.47555555555556,0.6133293596249593,87.42
37,Stage‑1,0.044397726714288925,98.48222222222222,0.5381860030414183,87.56
38,Stage‑1,0.029625584397721963,98.98666666666666,0.5937032916500599,87.36
39,Stage‑1,0.035303315342224036,98.80888888888889,0.6467043283525147,86.88
40,Stage‑1,0.035342498329617396,98.7911111111111,0.6887907150166133,86.6
41,Stage‑1,0.03044031893688787,98.96666666666667,0.5876882989195329,87.52
42,Stage‑1,0.032728670226374976,98.8711111111111,0.6039858616982834,86.56
43,Stage‑1,0.03215828117642807,98.9,0.6217032025269412,88.18
