stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,batch_size,accumulation
after_layer1,1,2.1469225835164387,22.43111111111111,2.011413379096985,29.08,29.08,256,1
after_layer1,2,1.956290359179179,30.026666666666667,1.8727232919692993,32.72,32.72,256,1
after_layer1,3,1.8689728068033855,32.931111111111115,1.7968393054962157,35.06,35.06,256,1
after_layer1,4,1.8223742200215658,34.60888888888889,1.754353367805481,38.82,38.82,256,1
after_layer1,5,1.7887434830559625,36.32666666666667,1.7168545415878296,39.04,39.04,256,1
after_layer1,6,1.7607123576905992,37.29555555555555,1.70235083026886,38.56,39.04,256,1
after_layer1,7,1.7432534907023112,38.08,1.670093762588501,42.68,42.68,256,1
after_layer1,8,1.7222084361606174,39.34,1.6463710205078126,44.18,44.18,256,1
after_layer1,9,1.7068032360288832,39.53777777777778,1.6526942375183105,41.82,44.18,256,1
after_layer1,10,1.6988284848531088,40.08222222222222,1.6284809217453002,44.82,44.82,256,1
after_layer1,11,1.688407331085205,40.513333333333335,1.6292748048782348,43.16,44.82,256,1
after_layer1,12,1.6771817991256714,41.49777777777778,1.6198804328918457,42.96,44.82,256,1
after_layer1,13,1.6759619017706977,41.34888888888889,1.6017482791900635,45.18,45.18,256,1
after_layer1,14,1.669572264205085,41.58222222222222,1.598021642112732,45.2,45.2,256,1
after_layer1,15,1.6625880764219496,41.95333333333333,1.5971372678756715,45.36,45.36,256,1
after_layer1,16,1.6632326665242514,41.92444444444445,1.5980880981445313,44.76,45.36,256,1
after_layer1,17,1.6591707776811389,42.022222222222226,1.5930827865600585,45.68,45.68,256,1
after_layer1,18,1.6640266237894694,42.144444444444446,1.5906451543807982,45.4,45.68,256,1
after_layer1,19,1.6558726182089911,42.388888888888886,1.5886033086776734,45.68,45.68,256,1
after_layer1,20,1.6563152222951254,42.30222222222222,1.5895625869750976,45.6,45.68,256,1
after_layer2,1,2.024697596316867,29.835555555555555,1.824041261100769,36.16,36.16,256,1
after_layer2,2,1.7388005874845716,40.38,1.6110804933547973,43.2,43.2,256,1
after_layer2,3,1.6090274777730307,44.602222222222224,1.5093696781158448,47.86,47.86,256,1
after_layer2,4,1.5457016548580593,46.602222222222224,1.4820865299224852,47.62,47.86,256,1
after_layer2,5,1.5018487258911133,48.28666666666667,1.419079411315918,51.78,51.78,256,1
after_layer2,6,1.4706286098268297,49.34888888888889,1.3985400272369384,50.6,51.78,256,1
after_layer2,7,1.4500355584462483,49.91555555555556,1.3583599193572997,53.54,53.54,256,1
after_layer2,8,1.4275321924421522,51.27333333333333,1.3411526371002198,53.64,53.64,256,1
after_layer2,9,1.4097813701629638,51.76,1.3313481576919555,54.04,54.04,256,1
after_layer2,10,1.4023637024349636,51.97555555555556,1.3062192200660705,55.96,55.96,256,1
after_layer2,11,1.38562608572642,52.45111111111111,1.2929919509887695,56.46,56.46,256,1
after_layer2,12,1.3778283778084648,53.117777777777775,1.2983680873870849,55.56,56.46,256,1
after_layer2,13,1.3746088901943632,53.23555555555556,1.276602147769928,56.7,56.7,256,1
after_layer2,14,1.3671665454228719,53.39111111111111,1.2722814792633057,57.2,57.2,256,1
after_layer2,15,1.3564601692411635,53.82222222222222,1.2730758672714233,56.72,57.2,256,1
after_layer2,16,1.3581657198376125,53.931111111111115,1.273466791152954,56.36,57.2,256,1
after_layer2,17,1.355024463420444,54.044444444444444,1.265769979763031,56.98,57.2,256,1
after_layer2,18,1.3599484929826524,53.644444444444446,1.2617106437683105,57.28,57.28,256,1
after_layer2,19,1.3536279011408487,53.964444444444446,1.261800641155243,57.78,57.78,256,1
after_layer2,20,1.3500406412972343,54.12444444444444,1.2619396154403686,57.5,57.78,256,1
after_layer3,1,1.609239469189114,53.63111111111111,1.1134394528388978,71.9,71.9,256,1
after_layer3,2,1.0418710065311856,68.52888888888889,0.7317351439476013,79.66,79.66,256,1
after_layer3,3,0.8650391404363844,72.57777777777778,0.6062587572097778,82.44,82.44,256,1
after_layer3,4,0.7945707607269287,74.12444444444445,0.5425366839408875,83.96,83.96,256,1
after_layer3,5,0.7427648131582472,75.67777777777778,0.4970364273071289,85.34,85.34,256,1
after_layer3,6,0.7143526755226983,76.40666666666667,0.46507653131484983,86.38,86.38,256,1
after_layer3,7,0.697507658513387,76.66444444444444,0.44257550065517426,86.84,86.84,256,1
after_layer3,8,0.6798304541375902,77.29555555555555,0.4259213194131851,87.2,87.2,256,1
after_layer3,9,0.6637943010012308,77.93555555555555,0.41132726309299467,87.44,87.44,256,1
after_layer3,10,0.6562337301572164,78.02444444444444,0.3989799495458603,88.2,88.2,256,1
after_layer3,11,0.6484453927993774,78.2911111111111,0.3910229159116745,88.02,88.2,256,1
after_layer3,12,0.6381054937998454,78.54888888888888,0.3851485977888107,88.22,88.22,256,1
after_layer3,13,0.6291413965013292,79.14444444444445,0.37616011085510254,88.78,88.78,256,1
after_layer3,14,0.6301374213854471,78.98222222222222,0.3741063558578491,88.74,88.78,256,1
after_layer3,15,0.6221694014443292,79.24888888888889,0.3700285943746567,88.8,88.8,256,1
after_layer3,16,0.6237742993884616,79.17333333333333,0.37027002770900724,88.66,88.8,256,1
after_layer3,17,0.6229218970192804,79.25111111111111,0.3673750326871872,88.78,88.8,256,1
after_layer3,18,0.622235590616862,79.22888888888889,0.3660812545061111,88.92,88.92,256,1
after_layer3,19,0.6203489620420668,79.08444444444444,0.3654845425367355,88.86,88.92,256,1
after_layer3,20,0.615236779668596,79.35555555555555,0.3655234993934631,88.84,88.92,256,1
