threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.0,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.01,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.02,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.03,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.04,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.05,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.06,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.07,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.08,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.09,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.1,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.11,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.12,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.13,96.14,45.66,100.0,45.66,57.74,100.0,57.74,88.9,100.0,88.9,100.0,45.66,0.0,0.0,0.0,0.0,0.0,45.66
0.14,96.14,45.66,99.82,45.72230014025246,57.74,99.96,57.76310524209684,88.9,100.0,88.9,99.82,45.72230014025246,0.18,33.333333333333336,0.0,0.0,0.0,45.7
0.15,96.14,45.66,99.62,45.814093555510944,57.74,99.96,57.76310524209684,88.9,100.0,88.9,99.62,45.814093555510944,0.38,47.36842105263158,0.0,0.0,0.0,45.82
0.16,96.14,45.66,98.96,45.91754244139046,57.74,99.88,57.78934721665999,88.9,100.0,88.9,98.96,45.91754244139046,1.04,50.0,0.0,0.0,0.0,45.96
0.17,96.14,45.66,97.5,46.174358974358974,57.74,99.76,57.8588612670409,88.9,100.0,88.9,97.5,46.174358974358974,2.42,45.45454545454545,0.08,75.0,0.0,46.18
0.18,96.14,45.66,95.74,46.500940045957805,57.74,99.54,57.92646172393008,88.9,100.0,88.9,95.74,46.500940045957805,4.06,41.37931034482759,0.2,90.0,0.0,46.38
0.19,96.14,45.66,93.86,47.11272107393991,57.74,99.08,58.13484053290271,88.9,100.0,88.9,93.86,47.11272107393991,5.74,42.857142857142854,0.4,60.0,0.0,46.92
0.2,96.14,45.66,91.12,47.43195785776997,57.74,98.48,58.32656376929326,88.9,99.98,88.89777955591119,91.12,47.43195785776997,8.08,47.772277227722775,0.8,72.5,0.0,47.66
0.21,96.14,45.66,87.96,48.22646657571624,57.74,97.72,58.534588620548504,88.9,99.96,88.9155662264906,87.96,48.22646657571624,10.7,46.91588785046729,1.34,80.59701492537313,0.0,48.52
0.22,96.14,45.66,84.9,49.02237926972909,57.74,96.74,58.87947074633037,88.9,99.94,88.91334800880529,84.9,49.02237926972909,13.18,46.889226100151745,1.92,81.25,0.0,49.36
0.23,96.14,45.66,81.52,49.681059862610404,57.74,95.68,59.17642140468227,88.9,99.94,88.91334800880529,81.52,49.681059862610404,15.74,49.04701397712834,2.74,85.4014598540146,0.0,50.56
0.24,96.14,45.66,78.12,50.512032770097285,57.74,94.38,59.58889595253232,88.9,99.92,88.9111289031225,78.12,50.512032770097285,18.16,50.220264317180614,3.72,86.55913978494624,0.0,51.8
0.25,96.14,45.66,74.12,51.53804641122504,57.74,92.82,59.922430510665805,88.9,99.88,88.94673608329995,74.12,51.53804641122504,20.7,51.4975845410628,5.14,85.99221789883268,0.04,53.32
