threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.0,97.33312292883068,30.795329020041027,100.0,30.795329020041027,53.55057598232602,100.0,53.55057598232602,85.34795644626794,100.0,85.34795644626794,100.0,30.795329020041027,0.0,0.0,0.0,0.0,0.0,30.795329020041027
0.01,97.33312292883068,30.795329020041027,100.0,30.795329020041027,53.55057598232602,100.0,53.55057598232602,85.34795644626794,100.0,85.34795644626794,100.0,30.795329020041027,0.0,0.0,0.0,0.0,0.0,30.795329020041027
0.02,97.33312292883068,30.795329020041027,100.0,30.795329020041027,53.55057598232602,100.0,53.55057598232602,85.34795644626794,100.0,85.34795644626794,100.0,30.795329020041027,0.0,0.0,0.0,0.0,0.0,30.795329020041027
0.03,97.33312292883068,30.795329020041027,99.88953763610542,30.821484992101105,53.55057598232602,100.0,53.55057598232602,85.34795644626794,100.0,85.34795644626794,99.88953763610542,30.821484992101105,0.11046236389458734,57.142857142857146,0.0,0.0,0.0,30.850560201988323
0.04,97.33312292883068,30.795329020041027,98.8243648414076,31.065868263473053,53.55057598232602,100.0,53.55057598232602,85.34795644626794,100.0,85.34795644626794,98.8243648414076,31.065868263473053,1.1756351585923939,40.26845637583892,0.0,0.0,0.0,31.174057124822472
0.05,97.33312292883068,30.795329020041027,95.31323970332966,31.746688741721854,53.55057598232602,99.95265898690232,53.56804546889801,85.34795644626794,100.0,85.34795644626794,95.31323970332966,31.746688741721854,4.678870127820735,37.09949409780776,0.007890168849613381,0.0,0.0,31.994634685182263
0.06,97.33312292883068,30.795329020041027,89.30093103992425,33.22141721152147,53.55057598232602,99.8185261164589,53.63212394277132,85.34795644626794,100.0,85.34795644626794,89.30093103992425,33.22141721152147,10.604386933880384,37.57440476190476,0.09468202619536058,50.0,0.0,33.698911156698756
0.07,97.33312292883068,30.795329020041027,82.35758245226448,34.958804368653,53.55057598232602,99.31355531008363,53.86509891157544,85.34795644626794,100.0,85.34795644626794,82.35758245226448,34.958804368653,17.161117247909104,39.35632183908046,0.4813002998264163,63.9344262295082,0.0,35.852927252643205
0.08,97.33312292883068,30.795329020041027,75.39845352690547,36.81456676433654,53.55057598232602,98.2878333596339,54.25062214016216,85.34795644626794,100.0,85.34795644626794,75.39845352690547,36.81456676433654,23.26021776866025,40.80732700135685,1.341328704434275,71.76470588235294,0.0,38.21208773867761
0.09,97.33312292883068,30.795329020041027,68.77860186207985,38.8092233566594,53.55057598232602,96.82815212245542,54.91362451108214,85.34795644626794,99.95265898690232,85.38838017050837,68.77860186207985,38.8092233566594,28.649203092946188,41.83420545304324,2.564304876124349,74.46153846153847,0.007890168849613381,40.59491873126085
