boundary_id,name,output_shape,num_elements,num_bytes,serialized_num_bytes,approx_flops
0,input,"(1, 3, 224, 224)",150528,602112,602626,0.0
1,stem,"(1, 64, 56, 56)",200704,802816,803330,119619584.0
2,layer1.0,"(1, 256, 56, 56)",802816,3211264,3211779,235225088.0
3,layer1.1,"(1, 256, 56, 56)",802816,3211264,3211779,220774400.0
4,layer1.2,"(1, 256, 56, 56)",802816,3211264,3211779,220774400.0
5,layer2.0,"(1, 512, 28, 28)",401408,1605632,1606147,375115776.0
6,layer2.1,"(1, 512, 28, 28)",401408,1605632,1606147,219570176.0
7,layer2.2,"(1, 512, 28, 28)",401408,1605632,1606147,219570176.0
8,layer2.3,"(1, 512, 28, 28)",401408,1605632,1606147,219570176.0
9,layer3.0,"(1, 1024, 14, 14)",200704,802816,803330,373811200.0
10,layer3.1,"(1, 1024, 14, 14)",200704,802816,803330,218968064.0
11,layer3.2,"(1, 1024, 14, 14)",200704,802816,803330,218968064.0
12,layer3.3,"(1, 1024, 14, 14)",200704,802816,803330,218968064.0
13,layer3.4,"(1, 1024, 14, 14)",200704,802816,803330,218968064.0
14,layer3.5,"(1, 1024, 14, 14)",200704,802816,803330,218968064.0
15,layer4.0,"(1, 2048, 7, 7)",100352,401408,401922,373158912.0
16,layer4.1,"(1, 2048, 7, 7)",100352,401408,401922,218667008.0
17,layer4.2,"(1, 2048, 7, 7)",100352,401408,401922,218667008.0
18,final_pool,"(1, 2048)",2048,8192,8683,100352.0
19,final_classifier,"(1, 6)",6,24,514,12288.0
