relative_path,synset,label,source_index,split
train/43342,0,0,43342,train
train/31955,0,0,31955,train
train/46548,0,0,46548,train
train/27768,0,0,27768,train
train/47355,0,0,47355,train
train/48026,0,0,48026,train
train/27934,0,0,27934,train
train/32091,0,0,32091,train
train/34724,0,0,34724,train
train/1593,0,0,1593,train
train/23155,0,0,23155,train
train/7504,0,0,7504,train
train/6973,0,0,6973,train
train/42235,0,0,42235,train
train/34855,0,0,34855,train
train/42844,0,0,42844,train
train/15304,0,0,15304,train
train/35701,0,0,35701,train
train/7409,0,0,7409,train
train/40984,0,0,40984,train
train/13716,0,0,13716,train
train/17082,0,0,17082,train
train/26000,0,0,26000,train
train/28548,0,0,28548,train
train/27873,0,0,27873,train
train/16297,0,0,16297,train
train/12297,0,0,12297,train
train/44925,0,0,44925,train
train/5719,0,0,5719,train
train/23866,0,0,23866,train
train/35282,0,0,35282,train
train/32971,0,0,32971,train
train/45186,0,0,45186,train
train/7663,0,0,7663,train
train/439,0,0,439,train
train/39121,0,0,39121,train
train/2060,0,0,2060,train
train/32107,0,0,32107,train
train/32283,0,0,32283,train
train/21404,0,0,21404,train
train/29307,0,0,29307,train
train/47991,0,0,47991,train
train/12420,0,0,12420,train
train/20997,0,0,20997,train
train/16825,0,0,16825,train
train/29596,0,0,29596,train
train/13473,0,0,13473,train
train/39006,0,0,39006,train
train/39719,0,0,39719,train
train/16191,0,0,16191,train
train/12660,0,0,12660,train
train/49641,0,0,49641,train
train/8969,0,0,8969,train
train/14407,0,0,14407,train
train/18864,0,0,18864,train
train/782,0,0,782,train
train/9140,0,0,9140,train
train/4859,0,0,4859,train
train/5858,0,0,5858,train
train/46750,0,0,46750,train
train/35269,0,0,35269,train
train/30078,0,0,30078,train
train/9181,0,0,9181,train
train/47550,0,0,47550,train
train/38041,0,0,38041,train
train/47402,0,0,47402,train
train/24212,0,0,24212,train
train/38179,0,0,38179,train
train/6543,0,0,6543,train
train/30959,0,0,30959,train
train/19305,0,0,19305,train
train/906,0,0,906,train
train/22410,0,0,22410,train
train/10955,0,0,10955,train
train/14329,0,0,14329,train
train/43368,0,0,43368,train
train/15502,0,0,15502,train
train/6682,0,0,6682,train
train/10343,0,0,10343,train
train/25581,0,0,25581,train
train/1711,0,0,1711,train
train/24420,0,0,24420,train
train/15623,0,0,15623,train
train/7847,0,0,7847,train
train/9401,0,0,9401,train
train/19094,0,0,19094,train
train/27710,0,0,27710,train
train/28487,0,0,28487,train
train/41613,0,0,41613,train
train/29856,0,0,29856,train
train/26879,0,0,26879,train
train/37747,0,0,37747,train
train/19371,0,0,19371,train
train/36632,0,0,36632,train
train/39819,0,0,39819,train
train/39138,0,0,39138,train
train/34500,0,0,34500,train
train/22844,0,0,22844,train
train/564,0,0,564,train
train/20014,0,0,20014,train
train/15288,0,0,15288,train
train/13181,0,0,13181,train
train/10954,0,0,10954,train
train/21974,0,0,21974,train
train/13629,0,0,13629,train
train/2512,0,0,2512,train
train/783,0,0,783,train
train/2683,0,0,2683,train
train/5843,0,0,5843,train
train/5566,0,0,5566,train
train/34070,0,0,34070,train
train/11014,0,0,11014,train
train/48788,0,0,48788,train
train/21522,0,0,21522,train
train/35326,0,0,35326,train
train/37062,0,0,37062,train
train/46949,0,0,46949,train
train/19286,0,0,19286,train
train/46902,0,0,46902,train
train/25236,0,0,25236,train
train/2021,0,0,2021,train
train/2996,0,0,2996,train
train/17056,0,0,17056,train
train/16370,0,0,16370,train
train/41131,0,0,41131,train
train/36446,0,0,36446,train
train/7014,0,0,7014,train
train/6190,0,0,6190,train
train/24764,0,0,24764,train
train/12363,0,0,12363,train
train/38198,0,0,38198,train
train/3011,0,0,3011,train
train/24058,0,0,24058,train
train/6858,0,0,6858,train
train/23224,0,0,23224,train
train/13490,0,0,13490,train
train/38187,0,0,38187,train
train/42201,0,0,42201,train
train/39288,0,0,39288,train
train/28360,0,0,28360,train
train/49349,0,0,49349,train
train/5673,0,0,5673,train
train/35475,0,0,35475,train
train/42644,0,0,42644,train
train/37729,0,0,37729,train
train/9596,0,0,9596,train
train/28767,0,0,28767,train
train/21983,0,0,21983,train
train/40317,0,0,40317,train
train/23644,0,0,23644,train
train/11768,0,0,11768,train
train/15473,0,0,15473,train
train/15379,0,0,15379,train
train/33368,0,0,33368,train
train/11732,0,0,11732,train
train/5470,0,0,5470,train
train/42628,0,0,42628,train
train/18368,0,0,18368,train
train/39311,0,0,39311,train
train/20795,0,0,20795,train
train/3674,0,0,3674,train
train/26049,0,0,26049,train
train/49941,0,0,49941,train
train/22540,0,0,22540,train
train/28625,0,0,28625,train
train/9697,0,0,9697,train
train/40359,0,0,40359,train
train/27553,0,0,27553,train
train/4410,0,0,4410,train
train/21825,0,0,21825,train
train/47336,0,0,47336,train
train/5115,0,0,5115,train
train/44956,0,0,44956,train
train/46344,0,0,46344,train
train/30280,0,0,30280,train
train/3831,0,0,3831,train
train/39104,0,0,39104,train
train/47220,0,0,47220,train
train/26644,0,0,26644,train
train/37879,0,0,37879,train
train/866,0,0,866,train
train/457,0,0,457,train
train/5604,0,0,5604,train
train/40910,0,0,40910,train
train/8116,0,0,8116,train
train/5331,0,0,5331,train
train/46593,0,0,46593,train
train/19644,0,0,19644,train
train/27981,0,0,27981,train
train/17174,0,0,17174,train
train/24257,0,0,24257,train
train/44426,0,0,44426,train
train/6240,0,0,6240,train
train/35446,0,0,35446,train
train/8868,0,0,8868,train
train/8853,0,0,8853,train
train/11887,0,0,11887,train
train/29246,0,0,29246,train
train/46637,0,0,46637,train
train/3971,0,0,3971,train
train/33461,0,0,33461,train
train/2391,0,0,2391,train
train/24887,0,0,24887,train
train/24622,0,0,24622,train
train/40241,0,0,40241,train
train/27128,0,0,27128,train
