threshold,final_accuracy,after_block3_isolated_accuracy,after_block3_rate,after_block3_accuracy,after_block6_isolated_accuracy,after_block6_rate,after_block6_accuracy,after_block9_isolated_accuracy,after_block9_rate,after_block9_accuracy,after_block3_sequential_rate,after_block3_sequential_accuracy,after_block6_sequential_rate,after_block6_sequential_accuracy,after_block9_sequential_rate,after_block9_sequential_accuracy,final_rate,overall_accuracy
0.0,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.01,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.02,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.03,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.04,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.05,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.06,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.07,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.08,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.09,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.1,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.11,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.12,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.13,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.14,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.15,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.16,99.06,68.32,100.0,68.32,88.98,100.0,88.98,97.08,100.0,97.08,100.0,68.32,0.0,0.0,0.0,0.0,0.0,68.32
0.17,99.06,68.32,99.98,68.3136627325465,88.98,100.0,88.98,97.08,100.0,97.08,99.98,68.3136627325465,0.02,100.0,0.0,0.0,0.0,68.32
0.18,99.06,68.32,99.98,68.3136627325465,88.98,100.0,88.98,97.08,100.0,97.08,99.98,68.3136627325465,0.02,100.0,0.0,0.0,0.0,68.32
0.19,99.06,68.32,99.96,68.32733093237294,88.98,100.0,88.98,97.08,100.0,97.08,99.96,68.32733093237294,0.04,100.0,0.0,0.0,0.0,68.34
0.2,99.06,68.32,99.92,68.33466773418735,88.98,100.0,88.98,97.08,100.0,97.08,99.92,68.33466773418735,0.08,75.0,0.0,0.0,0.0,68.34
0.21,99.06,68.32,99.88,68.3620344413296,88.98,100.0,88.98,97.08,100.0,97.08,99.88,68.3620344413296,0.12,83.33333333333333,0.0,0.0,0.0,68.38
0.22,99.06,68.32,99.68,68.45906902086678,88.98,99.98,88.99779955991198,97.08,100.0,97.08,99.68,68.45906902086678,0.32,81.25,0.0,0.0,0.0,68.5
0.23,99.06,68.32,99.44,68.52373290426388,88.98,99.98,88.99779955991198,97.08,100.0,97.08,99.44,68.52373290426388,0.56,85.71428571428571,0.0,0.0,0.0,68.62
0.24,99.06,68.32,99.22,68.65551300141101,88.98,99.98,88.99779955991198,97.08,100.0,97.08,99.22,68.65551300141101,0.78,89.74358974358974,0.0,0.0,0.0,68.82
0.25,99.06,68.32,98.96,68.75505254648343,88.98,99.98,88.99779955991198,97.08,100.0,97.08,98.96,68.75505254648343,1.04,86.53846153846153,0.0,0.0,0.0,68.94
0.26,99.06,68.32,98.62,68.80957209490975,88.98,99.98,88.99779955991198,97.08,100.0,97.08,98.62,68.80957209490975,1.38,82.6086956521739,0.0,0.0,0.0,69.0
0.27,99.06,68.32,98.14,69.00346443855716,88.98,99.96,88.99559823929572,97.08,100.0,97.08,98.14,69.00346443855716,1.86,82.79569892473118,0.0,0.0,0.0,69.26
0.28,99.06,68.32,97.68,69.2055692055692,88.98,99.96,88.99559823929572,97.08,100.0,97.08,97.68,69.2055692055692,2.32,83.62068965517241,0.0,0.0,0.0,69.54
0.29,99.06,68.32,97.12,69.54283360790774,88.98,99.9,89.009009009009,97.08,100.0,97.08,97.12,69.54283360790774,2.86,79.02097902097903,0.02,100.0,0.0,69.82
0.3,99.06,68.32,96.54,69.71203646157034,88.98,99.88,89.00680816980376,97.08,100.0,97.08,96.54,69.71203646157034,3.44,77.90697674418605,0.02,100.0,0.0,70.0
0.31,99.06,68.32,95.62,70.06902321690023,88.98,99.86,89.0246344882836,97.08,99.98,97.07941588317664,95.62,70.06902321690023,4.36,78.89908256880734,0.02,100.0,0.0,70.46
0.32,99.06,68.32,94.82,70.28053153343177,88.98,99.84,89.04246794871794,97.08,99.98,97.07941588317664,94.82,70.28053153343177,5.16,77.51937984496124,0.02,100.0,0.0,70.66
0.33,99.06,68.32,93.96,70.58322690506598,88.98,99.72,89.1095066185319,97.08,99.94,97.09825895537323,93.96,70.58322690506598,5.98,77.92642140468227,0.06,100.0,0.0,71.04
0.34,99.06,68.32,92.8,71.07758620689656,88.98,99.56,89.2125351546806,97.08,99.9,97.11711711711712,92.8,71.07758620689656,7.1,78.59154929577464,0.1,100.0,0.0,71.64
0.35,99.06,68.32,91.56,71.45041502839668,88.98,99.3,89.32527693856998,97.08,99.9,97.11711711711712,91.56,71.45041502839668,8.3,80.48192771084338,0.14,100.0,0.0,72.24
0.36,99.06,68.32,90.26,71.96986483492134,88.98,99.12,89.40677966101696,97.08,99.86,97.15601842579612,90.26,71.96986483492134,9.56,80.9623430962343,0.18,100.0,0.0,72.88
0.37,99.06,68.32,89.0,72.56179775280899,88.98,98.88,89.5631067961165,97.08,99.84,97.17548076923077,89.0,72.56179775280899,10.74,81.19180633147114,0.26,100.0,0.0,73.56
0.38,99.06,68.32,87.66,72.9637234770705,88.98,98.6,89.67545638945234,97.08,99.8,97.17434869739479,87.66,72.9637234770705,12.02,81.19800332778702,0.32,100.0,0.0,74.04
0.39,99.06,68.32,86.4,73.58796296296296,88.98,98.32,89.78844589096826,97.08,99.76,97.19326383319968,86.4,73.58796296296296,13.12,81.25,0.48,95.83333333333333,0.0,74.7
0.4,99.06,68.32,85.18,74.07842216482743,88.98,98.02,89.90002040399918,97.08,99.74,97.21275315821136,85.18,74.07842216482743,14.2,82.11267605633803,0.62,93.54838709677419,0.0,75.34
0.41,99.06,68.32,83.78,74.74337550728097,88.98,97.74,90.0757110701862,97.08,99.68,97.23113964686998,83.78,74.74337550728097,15.34,81.877444589309,0.84,95.23809523809524,0.04,76.0
0.42,99.06,68.32,82.3,75.26123936816525,88.98,97.46,90.17032628770778,97.08,99.66,97.25065221753964,82.3,75.26123936816525,16.68,82.49400479616307,0.98,95.91836734693878,0.04,76.66
0.43,99.06,68.32,80.94,75.73511242895972,88.98,97.14,90.34383364216595,97.08,99.62,97.26962457337883,80.94,75.73511242895972,17.78,83.12710911136108,1.22,95.08196721311475,0.06,77.28
0.44,99.06,68.32,79.18,76.28188936600152,88.98,96.88,90.44178364987613,97.08,99.6,97.26907630522088,79.18,76.28188936600152,19.36,83.36776859504133,1.4,95.71428571428571,0.06,77.92
0.45,99.06,68.32,77.76,76.8775720164609,88.98,96.42,90.66583696328563,97.08,99.56,97.28806749698674,77.76,76.8775720164609,20.5,84.09756097560975,1.64,95.1219512195122,0.1,78.66
0.46,99.06,68.32,75.9,77.28590250329381,88.98,95.84,90.9432387312187,97.08,99.46,97.36577518600443,75.9,77.28590250329381,21.9,84.74885844748859,2.08,93.26923076923077,0.12,79.26
0.47,99.06,68.32,73.96,77.82585181179016,88.98,95.52,91.12227805695143,97.08,99.46,97.36577518600443,73.96,77.82585181179016,23.64,85.27918781725889,2.28,92.10526315789474,0.12,79.92
0.48,99.06,68.32,72.5,78.34482758620689,88.98,95.18,91.30069342298802,97.08,99.42,97.38483202574935,72.5,78.34482758620689,24.82,86.05962933118452,2.56,92.1875,0.12,80.62
0.49,99.06,68.32,70.54,78.8488800680465,88.98,94.8,91.45569620253164,97.08,99.24,97.42039500201531,70.54,78.8488800680465,26.4,86.36363636363636,2.88,93.05555555555556,0.18,81.24
0.5,99.06,68.32,68.68,79.5282469423413,88.98,94.2,91.76220806794055,97.08,99.14,97.43796651200323,68.68,79.5282469423413,27.9,87.168458781362,3.16,91.77215189873418,0.26,82.06
0.51,99.06,68.32,67.3,80.14858841010401,88.98,93.62,91.90343943601795,97.08,98.9,97.53286147623862,67.3,80.14858841010401,28.92,87.69017980636238,3.5,91.42857142857143,0.28,82.74
0.52,99.06,68.32,65.34,80.96112641567187,88.98,93.04,92.15391229578675,97.08,98.68,97.58816376165383,65.34,80.96112641567187,30.3,88.44884488448845,4.02,92.03980099502488,0.34,83.68
0.53,99.06,68.32,64.22,81.5010900031143,88.98,92.48,92.409169550173,97.08,98.42,97.70371875635034,64.22,81.5010900031143,30.92,88.8745148771022,4.44,92.34234234234235,0.42,84.28
0.54,99.06,68.32,62.76,81.86743148502231,88.98,91.78,92.67814338635868,97.08,98.24,97.84201954397395,62.76,81.86743148502231,31.82,89.69201759899434,4.88,93.44262295081967,0.54,84.9
0.55,99.06,68.32,61.3,82.31647634584013,88.98,90.96,92.91996481970097,97.08,98.06,97.91964103610034,61.3,82.31647634584013,32.7,89.84709480122324,5.36,93.65671641791045,0.64,85.38
0.56,99.06,68.32,60.02,82.83905364878373,88.98,90.22,93.17224562181335,97.08,97.82,98.01676548763034,60.02,82.83905364878373,33.4,90.05988023952096,5.84,93.4931506849315,0.74,85.88
0.57,99.06,68.32,58.36,83.34475668265935,88.98,89.52,93.4763181411975,97.08,97.78,98.01595418285947,58.36,83.34475668265935,34.42,90.47065659500291,6.44,93.47826086956522,0.78,86.46
0.58,99.06,68.32,56.68,84.121383203952,88.98,88.96,93.72751798561151,97.08,97.68,98.03439803439804,56.68,84.121383203952,35.58,90.83754918493536,6.86,93.87755102040816,0.88,87.16
0.59,99.06,68.32,55.08,85.07625272331154,88.98,88.36,93.91127206880941,97.08,97.5,98.0923076923077,55.08,85.07625272331154,36.38,91.03903243540407,7.52,94.41489361702128,1.02,87.94
