boundary_id,name,output_shape,num_elements,num_bytes,serialized_num_bytes,approx_flops
0,input,"(1, 3, 224, 224)",150528,602112,602629,0.0
1,patch_embed,"(1, 197, 768)",151296,605184,605696,115605504.0
2,blocks.0,"(1, 197, 768)",151296,605184,605696,1395856896.0
3,blocks.1,"(1, 197, 768)",151296,605184,605696,1395856896.0
4,blocks.2,"(1, 197, 768)",151296,605184,605696,1395856896.0
5,blocks.3,"(1, 197, 768)",151296,605184,605696,1395856896.0
6,blocks.4,"(1, 197, 768)",151296,605184,605696,1395856896.0
7,blocks.5,"(1, 197, 768)",151296,605184,605696,1395856896.0
8,blocks.6,"(1, 197, 768)",151296,605184,605696,1395856896.0
9,blocks.7,"(1, 197, 768)",151296,605184,605696,1395856896.0
10,blocks.8,"(1, 197, 768)",151296,605184,605696,1395856896.0
11,blocks.9,"(1, 197, 768)",151296,605184,605696,1395856896.0
12,blocks.10,"(1, 197, 768)",151296,605184,605696,1395856896.0
13,blocks.11,"(1, 197, 768)",151296,605184,605696,1395856896.0
14,norm,"(1, 768)",768,3072,605691,756480.0
15,final_classifier,"(1, 100)",100,400,893,76800.0
