layer,output_shape,num_elements,num_bytes,approx_flops
conv1,"(1, 64, 16, 16)",16384,65536,4816896
bn1,"(1, 64, 16, 16)",16384,65536,32768
relu,"(1, 64, 16, 16)",16384,65536,16384
maxpool,"(1, 64, 8, 8)  ",4096,16384,0
layer1.0.downsample.0,"(1, 256, 8, 8) ",16384,65536,2097152
layer1.0.downsample.1,"(1, 256, 8, 8) ",16384,65536,32768
layer1.0.conv1,"(1, 64, 8, 8)  ",4096,16384,524288
layer1.0.bn1,"(1, 64, 8, 8)  ",4096,16384,8192
layer1.0.relu,"(1, 256, 8, 8) ",16384,65536,16384
layer1.0.conv2,"(1, 64, 8, 8)  ",4096,16384,4718592
layer1.0.bn2,"(1, 64, 8, 8)  ",4096,16384,8192
layer1.0.conv3,"(1, 256, 8, 8) ",16384,65536,2097152
layer1.0.bn3,"(1, 256, 8, 8) ",16384,65536,32768
layer1.1.conv1,"(1, 64, 8, 8)  ",4096,16384,2097152
layer1.1.bn1,"(1, 64, 8, 8)  ",4096,16384,8192
layer1.1.relu,"(1, 256, 8, 8) ",16384,65536,16384
layer1.1.conv2,"(1, 64, 8, 8)  ",4096,16384,4718592
layer1.1.bn2,"(1, 64, 8, 8)  ",4096,16384,8192
layer1.1.conv3,"(1, 256, 8, 8) ",16384,65536,2097152
layer1.1.bn3,"(1, 256, 8, 8) ",16384,65536,32768
layer1.2.conv1,"(1, 64, 8, 8)  ",4096,16384,2097152
layer1.2.bn1,"(1, 64, 8, 8)  ",4096,16384,8192
layer1.2.relu,"(1, 256, 8, 8) ",16384,65536,16384
layer1.2.conv2,"(1, 64, 8, 8)  ",4096,16384,4718592
layer1.2.bn2,"(1, 64, 8, 8)  ",4096,16384,8192
layer1.2.conv3,"(1, 256, 8, 8) ",16384,65536,2097152
layer1.2.bn3,"(1, 256, 8, 8) ",16384,65536,32768
layer2.0.downsample.0,"(1, 512, 4, 4) ",8192,32768,4194304
layer2.0.downsample.1,"(1, 512, 4, 4) ",8192,32768,16384
layer2.0.conv1,"(1, 128, 8, 8) ",8192,32768,4194304
layer2.0.bn1,"(1, 128, 8, 8) ",8192,32768,16384
layer2.0.relu,"(1, 512, 4, 4) ",8192,32768,8192
layer2.0.conv2,"(1, 128, 4, 4) ",2048,8192,4718592
layer2.0.bn2,"(1, 128, 4, 4) ",2048,8192,4096
layer2.0.conv3,"(1, 512, 4, 4) ",8192,32768,2097152
layer2.0.bn3,"(1, 512, 4, 4) ",8192,32768,16384
layer2.1.conv1,"(1, 128, 4, 4) ",2048,8192,2097152
layer2.1.bn1,"(1, 128, 4, 4) ",2048,8192,4096
layer2.1.relu,"(1, 512, 4, 4) ",8192,32768,8192
layer2.1.conv2,"(1, 128, 4, 4) ",2048,8192,4718592
layer2.1.bn2,"(1, 128, 4, 4) ",2048,8192,4096
layer2.1.conv3,"(1, 512, 4, 4) ",8192,32768,2097152
layer2.1.bn3,"(1, 512, 4, 4) ",8192,32768,16384
layer2.2.conv1,"(1, 128, 4, 4) ",2048,8192,2097152
layer2.2.bn1,"(1, 128, 4, 4) ",2048,8192,4096
layer2.2.relu,"(1, 512, 4, 4) ",8192,32768,8192
layer2.2.conv2,"(1, 128, 4, 4) ",2048,8192,4718592
layer2.2.bn2,"(1, 128, 4, 4) ",2048,8192,4096
layer2.2.conv3,"(1, 512, 4, 4) ",8192,32768,2097152
layer2.2.bn3,"(1, 512, 4, 4) ",8192,32768,16384
layer2.3.conv1,"(1, 128, 4, 4) ",2048,8192,2097152
layer2.3.bn1,"(1, 128, 4, 4) ",2048,8192,4096
layer2.3.relu,"(1, 512, 4, 4) ",8192,32768,8192
layer2.3.conv2,"(1, 128, 4, 4) ",2048,8192,4718592
layer2.3.bn2,"(1, 128, 4, 4) ",2048,8192,4096
layer2.3.conv3,"(1, 512, 4, 4) ",8192,32768,2097152
layer2.3.bn3,"(1, 512, 4, 4) ",8192,32768,16384
avgpool,"(1, 2048, 1, 1)",2048,8192,0
fc2,"(1, 10)        ",10,40,10240
layer3.0.downsample.0,"(1, 1024, 2, 2)",4096,16384,4194304
layer3.0.downsample.1,"(1, 1024, 2, 2)",4096,16384,8192
layer3.0.conv1,"(1, 256, 4, 4) ",4096,16384,4194304
layer3.0.bn1,"(1, 256, 4, 4) ",4096,16384,8192
layer3.0.relu,"(1, 1024, 2, 2)",4096,16384,4096
layer3.0.conv2,"(1, 256, 2, 2) ",1024,4096,4718592
layer3.0.bn2,"(1, 256, 2, 2) ",1024,4096,2048
layer3.0.conv3,"(1, 1024, 2, 2)",4096,16384,2097152
layer3.0.bn3,"(1, 1024, 2, 2)",4096,16384,8192
layer3.1.conv1,"(1, 256, 2, 2) ",1024,4096,2097152
layer3.1.bn1,"(1, 256, 2, 2) ",1024,4096,2048
layer3.1.relu,"(1, 1024, 2, 2)",4096,16384,4096
layer3.1.conv2,"(1, 256, 2, 2) ",1024,4096,4718592
layer3.1.bn2,"(1, 256, 2, 2) ",1024,4096,2048
layer3.1.conv3,"(1, 1024, 2, 2)",4096,16384,2097152
layer3.1.bn3,"(1, 1024, 2, 2)",4096,16384,8192
layer3.2.conv1,"(1, 256, 2, 2) ",1024,4096,2097152
layer3.2.bn1,"(1, 256, 2, 2) ",1024,4096,2048
layer3.2.relu,"(1, 1024, 2, 2)",4096,16384,4096
layer3.2.conv2,"(1, 256, 2, 2) ",1024,4096,4718592
layer3.2.bn2,"(1, 256, 2, 2) ",1024,4096,2048
layer3.2.conv3,"(1, 1024, 2, 2)",4096,16384,2097152
layer3.2.bn3,"(1, 1024, 2, 2)",4096,16384,8192
layer3.3.conv1,"(1, 256, 2, 2) ",1024,4096,2097152
layer3.3.bn1,"(1, 256, 2, 2) ",1024,4096,2048
layer3.3.relu,"(1, 1024, 2, 2)",4096,16384,4096
layer3.3.conv2,"(1, 256, 2, 2) ",1024,4096,4718592
layer3.3.bn2,"(1, 256, 2, 2) ",1024,4096,2048
layer3.3.conv3,"(1, 1024, 2, 2)",4096,16384,2097152
layer3.3.bn3,"(1, 1024, 2, 2)",4096,16384,8192
layer3.4.conv1,"(1, 256, 2, 2) ",1024,4096,2097152
layer3.4.bn1,"(1, 256, 2, 2) ",1024,4096,2048
layer3.4.relu,"(1, 1024, 2, 2)",4096,16384,4096
layer3.4.conv2,"(1, 256, 2, 2) ",1024,4096,4718592
layer3.4.bn2,"(1, 256, 2, 2) ",1024,4096,2048
layer3.4.conv3,"(1, 1024, 2, 2)",4096,16384,2097152
layer3.4.bn3,"(1, 1024, 2, 2)",4096,16384,8192
layer3.5.conv1,"(1, 256, 2, 2) ",1024,4096,2097152
layer3.5.bn1,"(1, 256, 2, 2) ",1024,4096,2048
layer3.5.relu,"(1, 1024, 2, 2)",4096,16384,4096
layer3.5.conv2,"(1, 256, 2, 2) ",1024,4096,4718592
layer3.5.bn2,"(1, 256, 2, 2) ",1024,4096,2048
layer3.5.conv3,"(1, 1024, 2, 2)",4096,16384,2097152
layer3.5.bn3,"(1, 1024, 2, 2)",4096,16384,8192
fc3,"(1, 10)        ",10,40,20480
layer4.0.downsample.0,"(1, 2048, 1, 1)",2048,8192,4194304
layer4.0.downsample.1,"(1, 2048, 1, 1)",2048,8192,4096
layer4.0.conv1,"(1, 512, 2, 2) ",2048,8192,4194304
layer4.0.bn1,"(1, 512, 2, 2) ",2048,8192,4096
layer4.0.relu,"(1, 2048, 1, 1)",2048,8192,2048
layer4.0.conv2,"(1, 512, 1, 1) ",512,2048,4718592
layer4.0.bn2,"(1, 512, 1, 1) ",512,2048,1024
layer4.0.conv3,"(1, 2048, 1, 1)",2048,8192,2097152
layer4.0.bn3,"(1, 2048, 1, 1)",2048,8192,4096
layer4.1.conv1,"(1, 512, 1, 1) ",512,2048,2097152
layer4.1.bn1,"(1, 512, 1, 1) ",512,2048,1024
layer4.1.relu,"(1, 2048, 1, 1)",2048,8192,2048
layer4.1.conv2,"(1, 512, 1, 1) ",512,2048,4718592
layer4.1.bn2,"(1, 512, 1, 1) ",512,2048,1024
layer4.1.conv3,"(1, 2048, 1, 1)",2048,8192,2097152
layer4.1.bn3,"(1, 2048, 1, 1)",2048,8192,4096
layer4.2.conv1,"(1, 512, 1, 1) ",512,2048,2097152
layer4.2.bn1,"(1, 512, 1, 1) ",512,2048,1024
layer4.2.relu,"(1, 2048, 1, 1)",2048,8192,2048
layer4.2.conv2,"(1, 512, 1, 1) ",512,2048,4718592
layer4.2.bn2,"(1, 512, 1, 1) ",512,2048,1024
layer4.2.conv3,"(1, 2048, 1, 1)",2048,8192,2097152
layer4.2.bn3,"(1, 2048, 1, 1)",2048,8192,4096
fc,"(1, 10)        ",10,40,40960
