segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0014857839016864697,0.001484452048316598,0.0014959191787056625,0.0014857839016864701,618865,832261
1,0.002072075141283373,0.0021652430295944214,0.002178836043458432,0.0020720751412833735,832261,3327494
2,0.0015603261223683755,0.0015210129786282778,0.0018893214408308267,0.001560326122368376,3327494,3327494
3,0.0015659722577159604,0.0015207569813355803,0.001884403044823557,0.0015659722577159609,3327494,3327494
4,0.002213858355147143,0.0022008130326867104,0.0022246706299483775,0.0022138583551471434,3327494,1722886
5,0.0013209590843568245,0.0012626199750229716,0.0016325126169249415,0.0013209590843568247,1722886,1722886
6,0.0013253484619781374,0.0012751800240948796,0.0016537107527256011,0.0013253484619781377,1722886,1722886
7,0.0012838580723231038,0.0012559479800984263,0.0014783087186515322,0.001283858072323104,1722886,1722886
8,0.002413773707424601,0.0023776510497555137,0.0027354218414984643,0.0024137737074246012,1722886,922117
9,0.0014256015808011095,0.0013681111158803105,0.0017304185777902601,0.0014256015808011098,922117,922117
10,0.0014023721683770417,0.0013654720969498158,0.0017314299591816961,0.001402372168377042,922117,922117
11,0.0013886520639061928,0.0013643039856106043,0.0015767237520776679,0.001388652063906193,922117,922117
12,0.0013870351404572526,0.0013629114255309105,0.0015683538047596803,0.0013870351404572528,922117,922117
13,0.0014001201372593642,0.0013635995564982295,0.0017236471991054713,0.0014001201372593644,922117,922117
14,0.002506219510299464,0.0024701980873942375,0.0028263959917239844,0.0025062195102994646,922117,524805
15,0.0016936749685555696,0.0016362810274586082,0.0019880822044797243,0.00169367496855557,524805,524805
16,0.0016449126259734234,0.0016306645702570677,0.0016524334205314517,0.0016449126259734238,524805,524805
17,0.00042582262928287187,0.0004250224446877837,0.00043903415789827707,0.000425822629282872,524805,8686
18,0.00040694538038223984,0.0004061264917254448,0.0004189905012026429,0.00040694538038223995,8686,533
