segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.00041073970060097055,0.0003949130004912149,0.0004954986014126916,0.00041073970060097055,618865,832261
1,0.0010047154995845632,0.0010085774993058294,0.0010518212015085736,0.0010047154995845632,832261,3327494
2,0.0007713580009294674,0.0007689455014769919,0.0008024382508665439,0.0007713580009294674,3327494,3327494
3,0.0007549104000645456,0.0007496175021515228,0.0007815214499714785,0.0007549104000645456,3327494,3327494
4,0.0009866510994470446,0.0009855859989329474,0.001025824998578173,0.0009866510994470446,3327494,1722886
5,0.0007696398999541998,0.0007720329995208886,0.000780908750857634,0.0007696398999541998,1722886,1722886
6,0.0007658284001081483,0.0007650890001968946,0.0007819977990948246,0.0007658284001081483,1722886,1722886
7,0.0007711053000093671,0.0007673769996472402,0.0007910884010925656,0.0007711053000093671,1722886,1722886
8,0.0010038128999440231,0.0010015539992309641,0.0010377999502452439,0.0010038128999440231,1722886,922117
9,0.0007943245997012127,0.0007949620012368541,0.000813613800528401,0.0007943245997012127,922117,922117
10,0.0007838700999855064,0.0007822734987712465,0.0008065076001003035,0.0007838700999855064,922117,922117
11,0.000783265400241362,0.0007842730010452215,0.0008001897991562146,0.000783265400241362,922117,922117
12,0.0007869005999964429,0.0007832174997020047,0.0008098142505332361,0.0007869005999964429,922117,922117
13,0.0007897868996224134,0.0007867529984650901,0.000814093200096977,0.0007897868996224134,922117,922117
14,0.0009922896999341902,0.0009910575008689193,0.0010231107991785394,0.0009922896999341902,922117,524805
15,0.0007933038999908604,0.0007863379996706499,0.0008165823493982316,0.0007933038999908604,524805,524805
16,0.0007874859998992179,0.0007812490002834238,0.0008100847511741449,0.0007874859998992179,524805,524805
17,0.00011648339968814981,0.00011251199975959025,0.0001319780481935595,0.00011648339968814981,524805,8686
18,0.00011408659993321635,0.00011207999887119513,0.00012846880072174826,0.00011408659993321635,8686,533
