segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.019019314633502895,0.018715319001785247,0.021238410999649203,0.0190193146335029,602625,803329
1,0.016298599999936415,0.016208358501899056,0.016572926299340908,0.01629859999993642,803329,3211778
2,0.014980687599745579,0.014660958999229479,0.016890649649940314,0.014980687599745583,3211778,3211778
3,0.014831490500000655,0.014498480000838754,0.016866208848477983,0.014831490500000658,3211778,3211778
4,0.02208440130004116,0.021858987000086927,0.024169622099907428,0.022084401300041162,3211778,1606146
5,0.011280709666971233,0.01118068450159626,0.012152854201121954,0.011280709666971235,1606146,1606146
6,0.011394410766661167,0.011190582999915932,0.012926666800376551,0.01139441076666117,1606146,1606146
7,0.011364553134262679,0.011173204000442638,0.012906009150356113,0.01136455313426268,1606146,1606146
8,0.019415031833705142,0.01905209449978429,0.021762398200007735,0.019415031833705146,1606146,803329
9,0.011462601433716675,0.011388821501896018,0.01190275995140837,0.011462601433716677,803329,803329
10,0.011608966300264001,0.011388655000700965,0.01353843205179146,0.011608966300264003,803329,803329
11,0.011656166366568263,0.011531430498507689,0.012784137749622454,0.011656166366568264,803329,803329
12,0.011446277999857557,0.011329673499858472,0.01216870304997428,0.011446277999857559,803329,803329
13,0.01162119586673119,0.011548013500942034,0.011914628948215976,0.011621195866731191,803329,803329
14,0.02366365886615919,0.02317001849951339,0.025671441648955805,0.023663658866159197,803329,401921
15,0.014418339400557064,0.014346038000439876,0.014703129649751644,0.014418339400557067,401921,401921
16,0.014404709767283445,0.014338889001010102,0.014574784650721994,0.014404709767283448,401921,401921
17,0.00023694236673084865,0.00024013600159378257,0.0002711893504965701,0.0002369423667308487,401921,8682
18,0.0004110100333491573,0.0003298939991509542,0.0007612573510414215,0.00041101003334915743,8682,529
