segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0003780891497929891,0.0004119761288166046,0.00042308326810598374,0.0003780891497929891,602625,803329
1,0.0009277843559781711,0.0010280627757310867,0.0010500622913241387,0.0009277843559781711,803329,3211778
2,0.0007513532415032387,0.0008288482204079628,0.0008518900722265244,0.0007513532415032387,3211778,3211778
3,0.0007429419085383416,0.0008240872994065285,0.0008399475365877152,0.0007429419085383416,3211778,3211778
4,0.000957321934401989,0.001062651164829731,0.0010782081633806228,0.000957321934401989,3211778,1606146
5,0.0007455576832095782,0.0008243387565016747,0.0008445258252322673,0.0007455576832095782,1606146,1606146
6,0.0007463312397400538,0.0008181994780898094,0.0008532381616532803,0.0007463312397400538,1606146,1606146
7,0.000746580958366394,0.000817958265542984,0.0008329132571816445,0.000746580958366394,1606146,1606146
8,0.0009810375049710274,0.0010847048833966255,0.0011097556911408902,0.0009810375049710274,1606146,803329
9,0.0007529644295573235,0.0008360492065548897,0.0008486099541187286,0.0007529644295573235,803329,803329
10,0.0007528286427259445,0.0008306810632348061,0.00085903350263834,0.0007528286427259445,803329,803329
11,0.0007485844815770785,0.0008285334333777428,0.000850957352668047,0.0007485844815770785,803329,803329
12,0.0007496700311700503,0.0008265767246484756,0.0008527981117367744,0.0007496700311700503,803329,803329
13,0.0007527420297265053,0.0008258959278464317,0.0008293488994240761,0.0007527420297265053,803329,803329
14,0.0010100467751423517,0.0010929005220532417,0.0011091267690062523,0.0010100467751423517,803329,401921
15,0.0007510483885804812,0.0008354391902685165,0.0008507082238793373,0.0007510483885804812,401921,401921
16,0.0007489500567317009,0.0008299294859170914,0.0008504555560648441,0.0007489500567317009,401921,401921
17,0.00014557962616284687,0.00015923194587230682,0.00016128905117511748,0.00014557962616284687,401921,8682
18,0.00014422181993722916,0.00015810783952474594,0.00016049500554800035,0.00014422181993722916,8682,529
