segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.0003276299999773376,0.00033744999996088154,0.00039882999988094514,0.00032762999997733755,602625,803329
1,0.0007804800000182392,0.0009052499999597785,0.0010760499999832973,0.0007804800000182389,803329,3211778
2,0.0005481899999722373,0.0004297000000406115,0.0008363550001604377,0.0005481899999722372,3211778,3211778
3,0.0005359933333238587,0.0004217999999127642,0.0008170199999312899,0.0005359933333238585,3211778,3211778
4,0.0006680733333572183,0.000571600000057515,0.0009721050000280226,0.0006680733333572182,3211778,1606146
5,0.0005193766666707234,0.00043944999993073,0.0007918600000039077,0.0005193766666707233,1606146,1606146
6,0.0005124166666215994,0.0004207999998016021,0.0007848199999443749,0.0005124166666215993,1606146,1606146
7,0.0005377433333857577,0.00042295000025660556,0.0008705999999165213,0.0005377433333857576,1606146,1606146
8,0.0007200766666301206,0.0005685999999514024,0.001165774999799396,0.0007200766666301205,1606146,803329
9,0.0005476833333432296,0.0004349500002263085,0.0008112299998856541,0.0005476833333432295,803329,803329
10,0.0005394033333535239,0.00043259999984002206,0.0008549400000447348,0.0005394033333535238,803329,803329
11,0.0005283266666538111,0.0004352999999355234,0.0007841550002012809,0.000528326666653811,803329,803329
12,0.0004917466666332378,0.0004307499998503772,0.0007644050000408242,0.0004917466666332377,803329,803329
13,0.0004701833333607889,0.0004220000002987945,0.0007785850001937432,0.0004701833333607888,803329,803329
14,0.0005535533333386411,0.0005221999999776017,0.0007063650000645793,0.000553553333338641,803329,401921
15,0.0004576433332961945,0.00042744999996102706,0.0006685849999939815,0.0004576433332961944,401921,401921
16,0.0004334899999472933,0.00041539999983797316,0.0004715849999229249,0.0004334899999472932,401921,401921
17,8.209999999356418e-05,7.735000008324278e-05,0.00010285499995461572,8.209999999356417e-05,401921,8682
18,7.787333330876815e-05,7.5149999702262e-05,9.913500009588451e-05,7.787333330876814e-05,8682,529
