segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.000487385131418705,0.00041206181049346924,0.0008984488435089587,0.000487385131418705,602629,803333
1,0.0011567207053303718,0.001012866385281086,0.001969440095126629,0.0011567207053303718,803333,3211782
2,0.0009723642840981483,0.0008325502276420593,0.0016159789636731145,0.0009723642840981483,3211782,3211782
3,0.0009568044915795326,0.0008203648030757904,0.0015498693101108074,0.0009568044915795326,3211782,3211782
4,0.0012568523486455282,0.0010736873373389244,0.0019693200476467608,0.0012568523486455282,3211782,1606150
5,0.0009606213619311651,0.0008364589884877205,0.001481672096997499,0.0009606213619311651,1606150,1606150
6,0.0009500449523329735,0.0008271010592579842,0.001464018132537603,0.0009500449523329735,1606150,1606150
7,0.0009028742089867592,0.0008260123431682587,0.0012409154325723646,0.0009028742089867592,1606150,1606150
8,0.0012037169188261032,0.0010949401184916496,0.0016563327983021732,0.0012037169188261032,1606150,803333
9,0.0009297296404838562,0.0008508292958140373,0.0012687228620052336,0.0009297296404838562,803333,803333
10,0.0009163211410244306,0.0008418373763561249,0.0012843530625104903,0.0009163211410244306,803333,803333
11,0.0008764194945494334,0.0008331285789608955,0.0011702198535203932,0.0008764194945494334,803333,803333
12,0.0008657697588205337,0.0008317921310663223,0.0011694648303091522,0.0008657697588205337,803333,803333
13,0.0008531315252184868,0.0008318023756146431,0.0010788664221763609,0.0008531315252184868,803333,803333
14,0.0011492101475596428,0.0011027082800865173,0.0014538322575390335,0.0011492101475596428,803333,401925
15,0.0008427711203694343,0.0008169328793883324,0.0009410814382135868,0.0008427711203694343,401925,401925
16,0.0008654966329534849,0.000812123529613018,0.0012828260660171491,0.0008654966329534849,401925,401925
17,0.00016784959783156713,0.0001552952453494072,0.0002531406469643113,0.00016784959783156713,401925,8686
18,0.00017771522204081217,0.00016876030713319778,0.00026121512055397,0.00017771522204081217,8686,893
