segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.05072342993333526,0.04854288599995016,0.0583855041502602,0.05072342993333526,602629,803333
1,0.057062363966679186,0.0555364305000694,0.06249078809996718,0.057062363966679186,803333,3211782
2,0.048798986866677295,0.047453220000079455,0.05477924630010875,0.048798986866677295,3211782,3211782
3,0.050058486499968545,0.04888728349988014,0.054863391199933165,0.050058486499968545,3211782,3211782
4,0.07999054890002905,0.0785359864999009,0.09265927674996419,0.07999054890002905,3211782,1606150
5,0.03670190353336693,0.0353206580002734,0.042842055349865404,0.03670190353336693,1606150,1606150
6,0.03630942773330995,0.034876676000067164,0.04548535739995714,0.03630942773330995,1606150,1606150
7,0.035642764933390934,0.0345625470001778,0.04436936839992995,0.035642764933390934,1606150,1606150
8,0.06678579816665055,0.06634293050001361,0.07580344619998412,0.06678579816665055,1606150,803333
9,0.03779555589999291,0.035800311000002694,0.045236805850117884,0.03779555589999291,803333,803333
10,0.03562758743337326,0.03341525549990365,0.044019067599788284,0.03562758743337326,803333,803333
11,0.03765328803337979,0.03516289850017529,0.045158548050039826,0.03765328803337979,803333,803333
12,0.03585261923337081,0.033359190000055605,0.043351686249957305,0.03585261923337081,803333,803333
13,0.03767059416665385,0.03604552050001075,0.04596030254997458,0.03767059416665385,803333,803333
14,0.08851642116665062,0.08805732199994054,0.09850557695008319,0.08851642116665062,803333,401925
15,0.055090453366665314,0.05338587549977092,0.06088445149998732,0.055090453366665314,401925,401925
16,0.054003662933322025,0.05231900349986063,0.059430543299959025,0.054003662933322025,401925,401925
17,0.0005987806000121055,0.0005866225001227576,0.0006723457499219874,0.0005987806000121055,401925,8686
18,0.001809685300001244,0.0016915155001697713,0.0027099014997702398,0.001809685300001244,8686,893
