segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.013337916632493337,0.013245149981230497,0.01457952493801713,0.013337916632493335,602629,803333
1,0.0059539299923926595,0.005975799867883325,0.007380780135281383,0.005953929992392659,803333,3211782
2,0.005058166633049647,0.004925200017169118,0.006580864754505453,0.005058166633049646,3211782,3211782
3,0.004832429982100924,0.004621949745342135,0.006166940019465982,0.004832429982100923,3211782,3211782
4,0.0076595966704189776,0.007546950131654739,0.008857439924031495,0.007659596670418977,3211782,1606150
5,0.004138029972091317,0.004113000119104981,0.004681064980104565,0.004138029972091316,1606150,1606150
6,0.004076153381417195,0.00398535025306046,0.004447179846465588,0.004076153381417194,1606150,1606150
7,0.004052779994284114,0.003927849931642413,0.005208060028962791,0.004052779994284113,1606150,1606150
8,0.007320546653742591,0.007105299737304449,0.008377984981052577,0.00732054665374259,1606150,803333
9,0.004329536668956279,0.004272599937394261,0.004995519900694489,0.0043295366689562785,803333,803333
10,0.004352886664370696,0.00437019974924624,0.0051316901342943295,0.004352886664370695,803333,803333
11,0.004233116703107953,0.0041438001208007336,0.005051945149898528,0.004233116703107952,803333,803333
12,0.004221270047128201,0.004111800109967589,0.004953954881057143,0.0042212700471282,803333,803333
13,0.004454466700553894,0.004241100046783686,0.005486525059677659,0.004454466700553893,803333,803333
14,0.009779226609195273,0.009194349870085716,0.01203443498816341,0.00977922660919527,803333,401925
15,0.0057557566712299986,0.005412049824371934,0.00741417510434985,0.005755756671229998,401925,401925
16,0.005822356697171927,0.005549299996346235,0.00701107510831207,0.005822356697171926,401925,401925
17,0.00015740332504113514,0.00013700011186301708,0.00025476512964814883,0.00015740332504113512,401925,8686
18,0.00010155335379143556,8.100015111267567e-05,0.00019426511134952286,0.00010155335379143554,8686,893
