segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.01690244999966429,0.01666060000206926,0.02021891500080528,0.01690244999966429,602629,803333
1,0.008540639999652436,0.00824789999933273,0.010371439999653375,0.008540639999652436,803333,3211782
2,0.006631586666723403,0.00639104999936535,0.008931950000260256,0.006631586666723403,3211782,3211782
3,0.0069759966663696105,0.006446949999372009,0.009006314998441666,0.0069759966663696105,3211782,3211782
4,0.009937696665898936,0.009348349998617778,0.012329159999535474,0.009937696665898936,3211782,1606150
5,0.0054801933331570275,0.005087599998660153,0.0062290899995787186,0.0054801933331570275,1606150,1606150
6,0.005195756666580564,0.004787800000485731,0.007135364997884605,0.005195756666580564,1606150,1606150
7,0.005255270000391951,0.004881600001681363,0.006517505001829704,0.005255270000391951,1606150,1606150
8,0.009531276667015238,0.008921399999962887,0.012271529999998166,0.009531276667015238,1606150,803333
9,0.0052277333331100335,0.005071499999758089,0.006265224998605844,0.0052277333331100335,803333,803333
10,0.006687723333016038,0.0051952499998151325,0.008740864998799223,0.006687723333016038,803333,803333
11,0.005369926666874866,0.005105500000354368,0.006747919999725126,0.005369926666874866,803333,803333
12,0.005378549999659299,0.005014050000681891,0.007130549999965295,0.005378549999659299,803333,803333
13,0.005487366667027042,0.005052399999840418,0.00705420000012964,0.005487366667027042,803333,803333
14,0.011680946666456294,0.011243150000154856,0.014037349999489376,0.011680946666456294,803333,401925
15,0.006897669999671052,0.006306050001512631,0.00895742499924381,0.006897669999671052,401925,401925
16,0.006759696666752764,0.00648180000098364,0.008141329999489244,0.006759696666752764,401925,401925
17,0.000195989999823117,0.00017669999942881986,0.0003029450004760292,0.000195989999823117,401925,8686
18,0.00010806000003261336,9.719999980006833e-05,0.0001676650012086611,0.00010806000003261336,8686,893
