segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.019198483900981955,0.018927356504718773,0.02085683834739029,0.019198483900981955,602626,803330
1,0.01674604896979872,0.016578339505940676,0.01785589940845966,0.01674604896979872,803330,3211779
2,0.01506220843390717,0.014853407992632128,0.016995430045062675,0.01506220843390717,3211779,3211779
3,0.015412175533128902,0.01518892848980613,0.017239023096044546,0.015412175533128902,3211779,3211779
4,0.02229195183123617,0.0221592190064257,0.022534095209266525,0.02229195183123617,3211779,1606147
5,0.011588135736140733,0.011373860499588773,0.012879140696895768,0.011588135736140733,1606147,1606147
6,0.01133261496531001,0.011315165509586222,0.011600406952493359,0.01133261496531001,1606147,1606147
7,0.011640240164706484,0.011441749506047927,0.013134809231269173,0.011640240164706484,1606147,1606147
8,0.019448053266387433,0.019087745997239836,0.021555984046426602,0.019448053266387433,1606147,803330
9,0.011760101002679827,0.011691287509165704,0.011883176790433936,0.011760101002679827,803330,803330
10,0.011932252969321175,0.01153394448920153,0.014908617899345694,0.011932252969321175,803330,803330
11,0.011863957500706117,0.011653889494482428,0.013665652055351528,0.011863957500706117,803330,803330
12,0.011690194534215456,0.011529953480930999,0.01288146565930219,0.011690194534215456,803330,803330
13,0.011552935532138993,0.011478073502075858,0.011708531493786723,0.011552935532138993,803330,803330
14,0.023905629767493036,0.023540528520243242,0.026231264913803898,0.023905629767493036,803330,401922
15,0.014586300834586534,0.014475379502982832,0.014889583693002351,0.014586300834586534,401922,401922
16,0.014656002964087141,0.014533639507135376,0.015375497062632347,0.014656002964087141,401922,401922
17,0.00021199933156215895,0.00020877851056866348,0.00023462624667445193,0.00021199933156215895,401922,8683
18,0.0003124097391264513,0.0002986400213558227,0.00031823279277887195,0.0003124097391264513,8683,514
