segment_id,raw_latency_mean_s,raw_latency_median_s,raw_latency_p95_s,calibrated_latency_s,input_bytes,output_bytes
0,0.15307840933340533,0.15617892700083758,0.1841446548498425,0.1530784093334053,602626,803330
1,0.1360894164331209,0.1397158504996696,0.15299447279894593,0.13608941643312086,803330,3211779
2,0.12420410396662192,0.12832459400033258,0.14511817229995358,0.12420410396662189,3211779,3211779
3,0.12802911243319007,0.12956706400018447,0.14519588039966036,0.12802911243319004,3211779,3211779
4,0.21086767320005795,0.21791778449915,0.23777916735052712,0.2108676732000579,3211779,1606147
5,0.1063095649001601,0.11056630699931702,0.12304172509948329,0.10630956490016007,1606147,1606147
6,0.1062903655332775,0.10897312599990983,0.11942853104956157,0.10629036553327748,1606147,1606147
7,0.10562523353340415,0.10751933649953571,0.1200682555010644,0.10562523353340413,1606147,1606147
8,0.1906227682001069,0.1934705075009333,0.21284701339909587,0.19062276820010685,1606147,803330
9,0.109039828500075,0.11158635050014709,0.13286765830007424,0.10903982850007497,803330,803330
10,0.10524209380012811,0.10516876200017578,0.12318220884972104,0.10524209380012808,803330,803330
11,0.10614488470012778,0.10764010600087204,0.11338220759998877,0.10614488470012776,803330,803330
12,0.10774247306665832,0.10706358849984099,0.12195319689899406,0.1077424730666583,803330,803330
13,0.10591951716663364,0.10833555499903014,0.11484243735021663,0.10591951716663361,803330,803330
14,0.2366318133332849,0.23941768999975466,0.2641944496496762,0.23663181333328484,803330,401922
15,0.14035945420018833,0.1434594050015221,0.15822268220053956,0.1403594542001883,401922,401922
16,0.14021070706652003,0.14430578600058652,0.16057838274946332,0.14021070706652,401922,401922
17,0.001205887266769423,0.0011669024997900124,0.0015352809502473966,0.0012058872667694228,401922,8683
18,0.0027033156333952017,0.0026887775002251146,0.004490829299265897,0.0027033156333952013,8683,514
