T_bandwidth_calibration,T_compute_device,T_d_compute,T_total,T_worker_elapsed_s,actual_start_at_utc,barrier_ready_at_utc,barrier_release_at_utc,cloud_exit_check,cloud_exit_head_compute,cloud_queue,cloud_segment_compute,confidence,d2e_transport,decision_id,decision_version,device_compute,difficulty,e2c_transport,edge_exit_check,edge_exit_head_compute,edge_queue,edge_segment_compute,executed_segments_by_node,exit_boundary_id,exit_id,exit_location,is_correct,label,objective_alpha,objective_beta,observed_accuracy,observed_latency,observed_utility,prediction,request_id,request_seq,request_trace,sample_id,sample_index,source_index,start_skew_s,test_sample_seed,total_latency,unattributed_overhead,user_id
3.3427257537841797,0.28250219000619836,0.28250219000619836,0.28253561598830856,0.28250219000619836,1784951553.4780028,1784951549.349307,1784951552.9420328,0.0,0.0,0.0,0.0,0.9748860597610474,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.28250219000619836,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,device,True,4,1.0,5.0,1.0,0.28253561598830856,-0.4126780799415428,4,6607f4bdcdc34823a4a3b5472be17684,0,"{'device_compute': 0.28250219000619836, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.28253561598830856, 'unattributed_overhead': 3.342598211020231e-05, 'request_id': '6607f4bdcdc34823a4a3b5472be17684', 'user_id': 0, 'prediction': 4, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'device', 'confidence': 0.9748860597610474, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0, 'segment_compute_s': 0.2786623160063755, 'exit_head_compute_s': 0.002986141014844179, 'exit_check_s': 0.0003324969729874283, 'worker_elapsed_s': 0.28250219000619836}], 'sample_id': 'balanced_004_0974_00009729', 'label': 4, 'correct': True, 'observed_utility': -0.4126780799415428}",balanced_004_0974_00009729,0,9729,0.5359699726104736,5218225471334682005,0.28253561598830856,3.342598211020231e-05,0
0.0,0.19464556497405283,0.19464556497405283,0.19467828699271195,0.19464556497405283,1784951554.7051487,1784951553.9506686,1784951554.2006686,0.0,0.0,0.0,0.0,0.9432235956192017,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.19464556497405283,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,device,True,6,1.0,5.0,1.0,0.19467828699271195,0.026608565036440268,6,a5b94599124241e2a2595cb3d5ff7537,1,"{'device_compute': 0.19464556497405283, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.19467828699271195, 'unattributed_overhead': 3.272201865911484e-05, 'request_id': 'a5b94599124241e2a2595cb3d5ff7537', 'user_id': 0, 'prediction': 6, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'device', 'confidence': 0.9432235956192017, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0, 'segment_compute_s': 0.1918371650390327, 'exit_head_compute_s': 0.0022143500100355595, 'exit_check_s': 0.00019988702842965722, 'worker_elapsed_s': 0.19464556497405283}], 'sample_id': 'balanced_006_0144_00001226', 'label': 6, 'correct': True, 'observed_utility': 0.026608565036440268}",balanced_006_0144_00001226,1,1226,0.5044801235198975,5218225471334682005,0.19467828699271195,3.272201865911484e-05,0
0.0,0.25606327201239765,0.25606327201239765,0.2560928830062039,0.25606327201239765,1784951554.916885,1784951554.1608288,1784951554.4108288,0.0,0.0,0.0,0.0,0.9847025275230408,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.25606327201239765,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,device,True,5,1.0,5.0,1.0,0.2560928830062039,-0.2804644150310196,5,29fa1aab45cc41f0aa6694d41fb30627,2,"{'device_compute': 0.25606327201239765, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.2560928830062039, 'unattributed_overhead': 2.9610993806272745e-05, 'request_id': '29fa1aab45cc41f0aa6694d41fb30627', 'user_id': 0, 'prediction': 5, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'device', 'confidence': 0.9847025275230408, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0, 'segment_compute_s': 0.25314641106524505, 'exit_head_compute_s': 0.0021830369951203465, 'exit_check_s': 0.0002482370182406157, 'worker_elapsed_s': 0.25606327201239765}], 'sample_id': 'balanced_005_0848_00008378', 'label': 5, 'correct': True, 'observed_utility': -0.2804644150310196}",balanced_005_0848_00008378,2,8378,0.5060560703277588,5218225471334682005,0.2560928830062039,2.9610993806272745e-05,0
0.0,0.26667938398895785,0.26667938398895785,0.26671049400465563,0.26667938398895785,1784951555.2190697,1784951554.4644375,1784951554.7144375,0.0,0.0,0.0,0.0,0.9983102083206177,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.26667938398895785,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,device,True,5,1.0,5.0,1.0,0.26671049400465563,-0.33355247002327815,5,7270b327b31141b6ad8037b7c82e372b,3,"{'device_compute': 0.26667938398895785, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.26671049400465563, 'unattributed_overhead': 3.111001569777727e-05, 'request_id': '7270b327b31141b6ad8037b7c82e372b', 'user_id': 0, 'prediction': 5, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'device', 'confidence': 0.9983102083206177, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0, 'segment_compute_s': 0.26364459298201837, 'exit_head_compute_s': 0.0022564259998034686, 'exit_check_s': 0.00026861001970246434, 'worker_elapsed_s': 0.26667938398895785}], 'sample_id': 'balanced_005_0383_00003945', 'label': 5, 'correct': True, 'observed_utility': -0.33355247002327815}",balanced_005_0383_00003945,3,3945,0.5046322345733643,5218225471334682005,0.26671049400465563,3.111001569777727e-05,0
0.0,0.19152153801405802,0.19152153801405802,0.19155290801427327,0.19152153801405802,1784951555.5295384,1784951554.7745478,1784951555.0245478,0.0,0.0,0.0,0.0,0.9885843992233276,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.19152153801405802,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,device,True,0,1.0,5.0,1.0,0.19155290801427327,0.042235459928633645,0,3b8d3cb1c86a4eea99c8ff55a008bfd5,4,"{'device_compute': 0.19152153801405802, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.19155290801427327, 'unattributed_overhead': 3.1370000215247273e-05, 'request_id': '3b8d3cb1c86a4eea99c8ff55a008bfd5', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'device', 'confidence': 0.9885843992233276, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0, 'segment_compute_s': 0.18879287605523132, 'exit_head_compute_s': 0.00215079597546719, 'exit_check_s': 0.00018722002278082073, 'worker_elapsed_s': 0.19152153801405802}], 'sample_id': 'balanced_000_0644_00006476', 'label': 0, 'correct': True, 'observed_utility': 0.042235459928633645}",balanced_000_0644_00006476,4,6476,0.5049905776977539,5218225471334682005,0.19155290801427327,3.1370000215247273e-05,0
0.0,0.272611925000092,0.272611925000092,0.27264094300335273,0.272611925000092,1784951555.7386339,1784951554.982775,1784951555.232775,0.0,0.0,0.0,0.0,0.6640061140060425,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.272611925000092,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,device,False,6,1.0,5.0,0.0,0.27264094300335273,-1.3632047150167637,3,6d3e5116c15d49ec9fd1fca57d51ea74,5,"{'device_compute': 0.272611925000092, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.27264094300335273, 'unattributed_overhead': 2.9018003260716796e-05, 'request_id': '6d3e5116c15d49ec9fd1fca57d51ea74', 'user_id': 0, 'prediction': 3, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'device', 'confidence': 0.6640061140060425, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0, 'segment_compute_s': 0.2686588470241986, 'exit_head_compute_s': 0.0032064909755717963, 'exit_check_s': 0.0002506290329620242, 'worker_elapsed_s': 0.272611925000092}], 'sample_id': 'balanced_006_0251_00002415', 'label': 6, 'correct': False, 'observed_utility': -1.3632047150167637}",balanced_006_0251_00002415,5,2415,0.5058588981628418,5218225471334682005,0.27264094300335273,2.9018003260716796e-05,0
0.0,0.20807983801933005,0.20807983801933005,0.2081106340046972,0.20807983801933005,1784951556.03965,1784951555.284619,1784951555.534619,0.0,0.0,0.0,0.0,0.9902085065841675,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.20807983801933005,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,device,True,7,1.0,5.0,1.0,0.2081106340046972,-0.04055317002348602,7,de113d17fc1c4dd0a4052a53ae4c4c16,6,"{'device_compute': 0.20807983801933005, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.2081106340046972, 'unattributed_overhead': 3.0795985367149115e-05, 'request_id': 'de113d17fc1c4dd0a4052a53ae4c4c16', 'user_id': 0, 'prediction': 7, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'device', 'confidence': 0.9902085065841675, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0, 'segment_compute_s': 0.20528388197999448, 'exit_head_compute_s': 0.0022263340069912374, 'exit_check_s': 0.0001862579956650734, 'worker_elapsed_s': 0.20807983801933005}], 'sample_id': 'balanced_007_0117_00001201', 'label': 7, 'correct': True, 'observed_utility': -0.04055317002348602}",balanced_007_0117_00001201,6,1201,0.5050308704376221,5218225471334682005,0.2081106340046972,3.0795985367149115e-05,0
0.0,0.1977944830141496,0.1977944830141496,0.19782598299207166,0.1977944830141496,1784951556.2619252,1784951555.5073009,1784951555.7573009,0.0,0.0,0.0,0.0,0.9906362891197205,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.1977944830141496,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,device,True,1,1.0,5.0,1.0,0.19782598299207166,0.010870085039641708,1,5c2b6dac11254d739fa985be6ecbc59f,7,"{'device_compute': 0.1977944830141496, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.19782598299207166, 'unattributed_overhead': 3.1499977922067046e-05, 'request_id': '5c2b6dac11254d739fa985be6ecbc59f', 'user_id': 0, 'prediction': 1, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'device', 'confidence': 0.9906362891197205, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0, 'segment_compute_s': 0.19506839601672255, 'exit_head_compute_s': 0.002152314002159983, 'exit_check_s': 0.0001828119857236743, 'worker_elapsed_s': 0.1977944830141496}], 'sample_id': 'balanced_001_0618_00006279', 'label': 1, 'correct': True, 'observed_utility': 0.010870085039641708}",balanced_001_0618_00006279,7,6279,0.5046243667602539,5218225471334682005,0.19782598299207166,3.1499977922067046e-05,0
0.0,0.18636863798019476,0.18636863798019476,0.18639958198764361,0.18636863798019476,1784951556.4764128,1784951555.7207584,1784951555.9707584,0.0,0.0,0.0,0.0,0.9741882085800171,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.18636863798019476,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,device,True,4,1.0,5.0,1.0,0.18639958198764361,0.06800209006178193,4,7bb5b83aa6c7489185353fcf9ee4b20c,8,"{'device_compute': 0.18636863798019476, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.18639958198764361, 'unattributed_overhead': 3.094400744885206e-05, 'request_id': '7bb5b83aa6c7489185353fcf9ee4b20c', 'user_id': 0, 'prediction': 4, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'device', 'confidence': 0.9741882085800171, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0, 'segment_compute_s': 0.18358901506871916, 'exit_head_compute_s': 0.002198294998379424, 'exit_check_s': 0.00018814599025063217, 'worker_elapsed_s': 0.18636863798019476}], 'sample_id': 'balanced_004_0854_00008452', 'label': 4, 'correct': True, 'observed_utility': 0.06800209006178193}",balanced_004_0854_00008452,8,8452,0.5056543350219727,5218225471334682005,0.18639958198764361,3.094400744885206e-05,0
0.0,0.20251520100282505,0.20251520100282505,0.20254634899902157,0.20251520100282505,1784951556.6843104,1784951555.9219549,1784951556.1719549,0.0,0.0,0.0,0.0,0.8943979740142822,0.0,ablate-ee-only-resnet50-cifar10-pi5-single-20260725-114734:v1,1,0.20251520100282505,unknown,0.0,0.0,0.0,0.0,0.0,"{'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,device,True,1,1.0,5.0,1.0,0.20254634899902157,-0.012731744995107874,1,0cbe1fc20e0f4b3b99bad17c5e4480f9,9,"{'device_compute': 0.20251520100282505, 'd2e_transport': 0.0, 'edge_queue': 0.0, 'edge_segment_compute': 0.0, 'edge_exit_head_compute': 0.0, 'edge_exit_check': 0.0, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.20254634899902157, 'unattributed_overhead': 3.114799619652331e-05, 'request_id': '0cbe1fc20e0f4b3b99bad17c5e4480f9', 'user_id': 0, 'prediction': 1, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'device', 'confidence': 0.8943979740142822, 'executed_segments_by_node': {'device': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0, 'segment_compute_s': 0.1976134269789327, 'exit_head_compute_s': 0.0037188380083534867, 'exit_check_s': 0.0002049600298050791, 'worker_elapsed_s': 0.20251520100282505}], 'sample_id': 'balanced_001_0878_00008663', 'label': 1, 'correct': True, 'observed_utility': -0.012731744995107874}",balanced_001_0878_00008663,9,8663,0.5123555660247803,5218225471334682005,0.20254634899902157,3.114799619652331e-05,0
