T_bandwidth_calibration,T_compute_device,T_compute_edge,T_compute_s,T_d2e,T_d_compute,T_device_edge_roundtrip,T_e_compute,T_node_edge,T_queue_s,T_total,T_worker_elapsed_s,actual_start_at_utc,barrier_ready_at_utc,barrier_release_at_utc,cloud_exit_check,cloud_exit_head_compute,cloud_queue,cloud_segment_compute,confidence,d2e_transport,decision_id,decision_version,device_compute,difficulty,e2c_transport,edge_exit_check,edge_exit_head_compute,edge_queue,edge_segment_compute,executed_segments_by_node,exit_boundary_id,exit_id,exit_location,is_correct,label,objective_alpha,objective_beta,observed_accuracy,observed_latency,observed_utility,prediction,request_id,request_seq,request_trace,sample_id,sample_index,source_index,start_skew_s,test_sample_seed,total_latency,unattributed_overhead,user_id
3.3416152000427246,4.7851004637777805e-05,0.0184239999998681,0.0184239999998681,0.19170392100841127,4.7851004637777805e-05,0.21345192100852728,0.0184239999998681,0.021748000000116008,0.0017119999993155943,0.21352727100020275,0.01850990000002639,1784950575.2069385,1784950571.111083,1784950574.7026982,0.0,0.0,0.0,0.0,0.9652590751647949,0.19170392100841127,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,4.7851004637777805e-05,unknown,0.0,0.00040780000017548446,0.0009062999988600495,0.0017119999993155943,0.016158899998117704,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,4,1.0,5.0,1.0,0.21352727100020275,-0.06763635500101373,4,97bb9ae259634204911fceb7f1445deb,0,"{'device_compute': 4.7851004637777805e-05, 'd2e_transport': 0.19170392100841127, 'edge_queue': 0.0017119999993155943, 'edge_segment_compute': 0.016158899998117704, 'edge_exit_head_compute': 0.0009062999988600495, 'edge_exit_check': 0.00040780000017548446, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.21352727100020275, 'unattributed_overhead': 0.002590498990684864, 'request_id': '97bb9ae259634204911fceb7f1445deb', 'user_id': 0, 'prediction': 4, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.9652590751647949, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 4.7851004637777805e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0017119999993155943, 'segment_compute_s': 0.016158899998117704, 'exit_head_compute_s': 0.0009062999988600495, 'exit_check_s': 0.00040780000017548446, 'worker_elapsed_s': 0.01850990000002639}], 'sample_id': 'balanced_004_0592_00005813', 'label': 4, 'correct': True, 'observed_utility': -0.06763635500101373}",balanced_004_0592_00005813,0,5813,0.5042402744293213,5809984948424600925,0.21352727100020275,0.002590498990684864,0
0.0,3.92769870813936e-05,0.018547099999523198,0.018547099999523198,0.26408254500984185,3.92769870813936e-05,0.28594564500963315,0.018547099999523198,0.021863099999791302,0.001704299999801151,0.2860108299937565,0.01861929999995482,1784950576.3569963,1784950575.6066835,1784950575.8566835,0.0,0.0,0.0,0.0,0.8887984752655029,0.26408254500984185,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.92769870813936e-05,unknown,0.0,0.0004174999994575046,0.0009246999998140382,0.001704299999801151,0.01622189999852708,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,2,1.0,5.0,1.0,0.2860108299937565,-0.43005414996878244,2,54da31837fd1442ea5632bada0413099,1,"{'device_compute': 3.92769870813936e-05, 'd2e_transport': 0.26408254500984185, 'edge_queue': 0.001704299999801151, 'edge_segment_compute': 0.01622189999852708, 'edge_exit_head_compute': 0.0009246999998140382, 'edge_exit_check': 0.0004174999994575046, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.2860108299937565, 'unattributed_overhead': 0.0026206079992334708, 'request_id': '54da31837fd1442ea5632bada0413099', 'user_id': 0, 'prediction': 2, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.8887984752655029, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.92769870813936e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.001704299999801151, 'segment_compute_s': 0.01622189999852708, 'exit_head_compute_s': 0.0009246999998140382, 'exit_check_s': 0.0004174999994575046, 'worker_elapsed_s': 0.01861929999995482}], 'sample_id': 'balanced_002_0063_00000674', 'label': 2, 'correct': True, 'observed_utility': -0.43005414996878244}",balanced_002_0063_00000674,1,674,0.5003128051757812,5809984948424600925,0.2860108299937565,0.0026206079992334708,0
0.0,3.842500154860318e-05,0.018690199999582546,0.018690199999582546,0.08175175400720036,3.842500154860318e-05,0.10398455400718376,0.018690199999582546,0.0222327999999834,0.0018666999994820799,0.1040485900011845,0.018768500000078348,1784950576.725421,1784950575.9259233,1784950576.1759233,0.0,0.0,0.0,0.0,0.9059250950813293,0.08175175400720036,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.842500154860318e-05,unknown,0.0,0.00042470000062166946,0.0009565000009388314,0.0018666999994820799,0.016220700001213118,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,1,1.0,5.0,1.0,0.1040485900011845,0.47975704999407753,1,d6460f046c074ea89f3511bbcd56cff3,2,"{'device_compute': 3.842500154860318e-05, 'd2e_transport': 0.08175175400720036, 'edge_queue': 0.0018666999994820799, 'edge_segment_compute': 0.016220700001213118, 'edge_exit_head_compute': 0.0009565000009388314, 'edge_exit_check': 0.00042470000062166946, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.1040485900011845, 'unattributed_overhead': 0.0027898109901798307, 'request_id': 'd6460f046c074ea89f3511bbcd56cff3', 'user_id': 0, 'prediction': 1, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.9059250950813293, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.842500154860318e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0018666999994820799, 'segment_compute_s': 0.016220700001213118, 'exit_head_compute_s': 0.0009565000009388314, 'exit_check_s': 0.00042470000062166946, 'worker_elapsed_s': 0.018768500000078348}], 'sample_id': 'balanced_001_0937_00009387', 'label': 1, 'correct': True, 'observed_utility': 0.47975704999407753}",balanced_001_0937_00009387,2,9387,0.5494976043701172,5809984948424600925,0.1040485900011845,0.0027898109901798307,0
0.0,4.681397695094347e-05,0.022621600000093167,0.022621600000093167,0.185942075996536,4.681397695094347e-05,0.2114047759969253,0.022621600000093167,0.025462700000389304,0.0012775999994119047,0.21147410798585042,0.02269920000071579,1784950576.8567677,1784950576.104683,1784950576.354683,0.0,0.0,0.0,0.0,0.9979026317596436,0.185942075996536,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,4.681397695094347e-05,unknown,0.0,0.0005293000003803172,0.0009120000004259055,0.0012775999994119047,0.02001869999912742,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,edge,True,0,1.0,5.0,1.0,0.21147410798585042,-0.05737053992925212,0,7a8523bb23574c63b8275a8a897bd718,3,"{'device_compute': 4.681397695094347e-05, 'd2e_transport': 0.185942075996536, 'edge_queue': 0.0012775999994119047, 'edge_segment_compute': 0.02001869999912742, 'edge_exit_head_compute': 0.0009120000004259055, 'edge_exit_check': 0.0005293000003803172, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.21147410798585042, 'unattributed_overhead': 0.0027476180130179273, 'request_id': '7a8523bb23574c63b8275a8a897bd718', 'user_id': 0, 'prediction': 0, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'edge', 'confidence': 0.9979026317596436, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 4.681397695094347e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0012775999994119047, 'segment_compute_s': 0.02001869999912742, 'exit_head_compute_s': 0.0009120000004259055, 'exit_check_s': 0.0005293000003803172, 'worker_elapsed_s': 0.02269920000071579}], 'sample_id': 'balanced_000_0612_00006191', 'label': 0, 'correct': True, 'observed_utility': -0.05737053992925212}",balanced_000_0612_00006191,3,6191,0.5020847320556641,5809984948424600925,0.21147410798585042,0.0027476180130179273,0
0.0,3.062901669181883e-05,0.019577600000047823,0.019577600000047823,0.090737199009709,3.062901669181883e-05,0.11373609901056625,0.019577600000047823,0.022998900000857248,0.0015333999999711523,0.1137898200249765,0.019660599999951955,1784950577.1595764,1784950576.409258,1784950576.659258,0.0,0.0,0.0,0.0,0.9961362481117249,0.090737199009709,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.062901669181883e-05,unknown,0.0,0.00043619999996735714,0.0009687999991001561,0.0015333999999711523,0.017191400000228896,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,8,1.0,5.0,1.0,0.1137898200249765,0.43105089987511747,8,af79196fc79d4b99bc7f33ef428308a1,4,"{'device_compute': 3.062901669181883e-05, 'd2e_transport': 0.090737199009709, 'edge_queue': 0.0015333999999711523, 'edge_segment_compute': 0.017191400000228896, 'edge_exit_head_compute': 0.0009687999991001561, 'edge_exit_check': 0.00043619999996735714, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.1137898200249765, 'unattributed_overhead': 0.0028921919993081247, 'request_id': 'af79196fc79d4b99bc7f33ef428308a1', 'user_id': 0, 'prediction': 8, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.9961362481117249, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.062901669181883e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0015333999999711523, 'segment_compute_s': 0.017191400000228896, 'exit_head_compute_s': 0.0009687999991001561, 'exit_check_s': 0.00043619999996735714, 'worker_elapsed_s': 0.019660599999951955}], 'sample_id': 'balanced_008_0301_00002893', 'label': 8, 'correct': True, 'observed_utility': 0.43105089987511747}",balanced_008_0301_00002893,4,2893,0.5003185272216797,5809984948424600925,0.1137898200249765,0.0028921919993081247,0
0.0,3.257399657741189e-05,0.018318899999940186,0.018318899999940186,0.11631177201070386,3.257399657741189e-05,0.13768297201022506,0.018318899999940186,0.021371199999521195,0.0014419000008274452,0.1377390830020886,0.018397099999674538,1784950577.3414958,1784950576.5869234,1784950576.8369234,0.0,0.0,0.0,0.0,0.8625975847244263,0.11631177201070386,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.257399657741189e-05,unknown,0.0,0.00040609999905427685,0.0008923999994294718,0.0014419000008274452,0.016097299997454684,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,9,1.0,5.0,1.0,0.1377390830020886,0.31130458498955704,9,bc2929ed703a44ff970ab2e623611ab8,5,"{'device_compute': 3.257399657741189e-05, 'd2e_transport': 0.11631177201070386, 'edge_queue': 0.0014419000008274452, 'edge_segment_compute': 0.016097299997454684, 'edge_exit_head_compute': 0.0008923999994294718, 'edge_exit_check': 0.00040609999905427685, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.1377390830020886, 'unattributed_overhead': 0.00255703699804144, 'request_id': 'bc2929ed703a44ff970ab2e623611ab8', 'user_id': 0, 'prediction': 9, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.8625975847244263, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.257399657741189e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0014419000008274452, 'segment_compute_s': 0.016097299997454684, 'exit_head_compute_s': 0.0008923999994294718, 'exit_check_s': 0.00040609999905427685, 'worker_elapsed_s': 0.018397099999674538}], 'sample_id': 'balanced_009_0188_00001853', 'label': 9, 'correct': True, 'observed_utility': 0.31130458498955704}",balanced_009_0188_00001853,5,1853,0.5045723915100098,5809984948424600925,0.1377390830020886,0.00255703699804144,0
0.0,3.1203991966322064e-05,0.023274799999853713,0.023274799999853713,0.06957410198720027,3.1203991966322064e-05,0.09583790198666975,0.023274799999853713,0.026263799999469484,0.0014743000001544715,0.09589247501571663,0.023349900000539492,1784950577.536888,1784950576.7860265,1784950577.0360265,0.0,0.0,0.0,0.0,0.9896721839904785,0.06957410198720027,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.1203991966322064e-05,unknown,0.0,0.0005472999991980032,0.0009654999994381797,0.0014743000001544715,0.02060969999729423,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,edge,True,0,1.0,5.0,1.0,0.09589247501571663,0.5205376249214169,0,4e73c51894754131b9c8c210ec626974,6,"{'device_compute': 3.1203991966322064e-05, 'd2e_transport': 0.06957410198720027, 'edge_queue': 0.0014743000001544715, 'edge_segment_compute': 0.02060969999729423, 'edge_exit_head_compute': 0.0009654999994381797, 'edge_exit_check': 0.0005472999991980032, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.09589247501571663, 'unattributed_overhead': 0.002690369040465157, 'request_id': '4e73c51894754131b9c8c210ec626974', 'user_id': 0, 'prediction': 0, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'edge', 'confidence': 0.9896721839904785, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.1203991966322064e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0014743000001544715, 'segment_compute_s': 0.02060969999729423, 'exit_head_compute_s': 0.0009654999994381797, 'exit_check_s': 0.0005472999991980032, 'worker_elapsed_s': 0.023349900000539492}], 'sample_id': 'balanced_000_0745_00007453', 'label': 0, 'correct': True, 'observed_utility': 0.5205376249214169}",balanced_000_0745_00007453,6,7453,0.500861406326294,5809984948424600925,0.09589247501571663,0.002690369040465157,0
0.0,3.0741008231416345e-05,0.01827769999999873,0.01827769999999873,0.08852905799449218,3.0741008231416345e-05,0.109935657994356,0.01827769999999873,0.02140659999986383,0.0015032999999675667,0.1099897869862616,0.01835620000019844,1784950577.6521912,1784950576.9020588,1784950577.1520588,0.0,0.0,0.0,0.0,0.9330824613571167,0.08852905799449218,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.0741008231416345e-05,unknown,0.0,0.0004033999994135229,0.0008855000005496549,0.0015032999999675667,0.016040100001191604,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,7,1.0,5.0,1.0,0.1099897869862616,0.45005106506869197,7,e032953b6b6145da80d8481135fbc216,7,"{'device_compute': 3.0741008231416345e-05, 'd2e_transport': 0.08852905799449218, 'edge_queue': 0.0015032999999675667, 'edge_segment_compute': 0.016040100001191604, 'edge_exit_head_compute': 0.0008855000005496549, 'edge_exit_check': 0.0004033999994135229, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.1099897869862616, 'unattributed_overhead': 0.002597687982415664, 'request_id': 'e032953b6b6145da80d8481135fbc216', 'user_id': 0, 'prediction': 7, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.9330824613571167, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.0741008231416345e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0015032999999675667, 'segment_compute_s': 0.016040100001191604, 'exit_head_compute_s': 0.0008855000005496549, 'exit_check_s': 0.0004033999994135229, 'worker_elapsed_s': 0.01835620000019844}], 'sample_id': 'balanced_007_0996_00009978', 'label': 7, 'correct': True, 'observed_utility': 0.45005106506869197}",balanced_007_0996_00009978,7,9978,0.5001323223114014,5809984948424600925,0.1099897869862616,0.002597687982415664,0
0.0,3.083300543949008e-05,0.022866599999360915,0.022866599999360915,0.07593857098618173,3.083300543949008e-05,0.10178067098604515,0.022866599999360915,0.02584209999986342,0.0014288000002125045,0.10183522599982098,0.022946000000047206,1784950577.7810922,1784950577.0305717,1784950577.2805717,0.0,0.0,0.0,0.0,0.9994747042655945,0.07593857098618173,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.083300543949008e-05,unknown,0.0,0.0005471000004035886,0.0009851000004346133,0.0014288000002125045,0.020144099999015452,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}",19,final,edge,True,5,1.0,5.0,1.0,0.10183522599982098,0.4908238700008951,5,4141528368384e37856b2374f3b7693b,8,"{'device_compute': 3.083300543949008e-05, 'd2e_transport': 0.07593857098618173, 'edge_queue': 0.0014288000002125045, 'edge_segment_compute': 0.020144099999015452, 'edge_exit_head_compute': 0.0009851000004346133, 'edge_exit_check': 0.0005471000004035886, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.10183522599982098, 'unattributed_overhead': 0.002760722008133598, 'request_id': '4141528368384e37856b2374f3b7693b', 'user_id': 0, 'prediction': 5, 'exit_id': 'final', 'exit_boundary_id': 19, 'exit_location': 'edge', 'confidence': 0.9994747042655945, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.083300543949008e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'queue_s': 0.0014288000002125045, 'segment_compute_s': 0.020144099999015452, 'exit_head_compute_s': 0.0009851000004346133, 'exit_check_s': 0.0005471000004035886, 'worker_elapsed_s': 0.022946000000047206}], 'sample_id': 'balanced_005_0596_00005978', 'label': 5, 'correct': True, 'observed_utility': 0.4908238700008951}",balanced_005_0596_00005978,8,5978,0.5005204677581787,5809984948424600925,0.10183522599982098,0.002760722008133598,0
0.0,3.100000321865082e-05,0.023301299999729963,0.023301299999729963,0.07483779800986667,3.100000321865082e-05,0.10133939801016822,0.023301299999729963,0.02650160000030155,0.0015467000002900022,0.10139352700207382,0.023376099999950384,1784950577.9305258,1784950577.152086,1784950577.402086,0.0,0.0,0.0,0.0,0.9686431884765625,0.07483779800986667,warm-1dev-resnet50-cifar10-pi5-20260725-113602:v1,1,3.100000321865082e-05,unknown,0.0,0.0004607999999279855,0.00147709999964718,0.0015467000002900022,0.019888799998625473,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}",14,after_layer3,edge,True,5,1.0,5.0,1.0,0.10139352700207382,0.4930323649896309,5,245af225e7784ad1bff31e33c62fb718,9,"{'device_compute': 3.100000321865082e-05, 'd2e_transport': 0.07483779800986667, 'edge_queue': 0.0015467000002900022, 'edge_segment_compute': 0.019888799998625473, 'edge_exit_head_compute': 0.00147709999964718, 'edge_exit_check': 0.0004607999999279855, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.10139352700207382, 'unattributed_overhead': 0.003151328990497859, 'request_id': '245af225e7784ad1bff31e33c62fb718', 'user_id': 0, 'prediction': 5, 'exit_id': 'after_layer3', 'exit_boundary_id': 14, 'exit_location': 'edge', 'confidence': 0.9686431884765625, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.100000321865082e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'queue_s': 0.0015467000002900022, 'segment_compute_s': 0.019888799998625473, 'exit_head_compute_s': 0.00147709999964718, 'exit_check_s': 0.0004607999999279855, 'worker_elapsed_s': 0.023376099999950384}], 'sample_id': 'balanced_005_0021_00000230', 'label': 5, 'correct': True, 'observed_utility': 0.4930323649896309}",balanced_005_0021_00000230,9,230,0.5284397602081299,5809984948424600925,0.10139352700207382,0.003151328990497859,0
