T_bandwidth_calibration,T_compute_device,T_compute_edge,T_compute_s,T_d2e,T_d_compute,T_device_edge_roundtrip,T_e_compute,T_node_edge,T_queue_s,T_total,T_worker_elapsed_s,actual_start_at_utc,barrier_ready_at_utc,barrier_release_at_utc,cloud_exit_check,cloud_exit_head_compute,cloud_queue,cloud_segment_compute,confidence,d2e_transport,decision_id,decision_version,device_compute,difficulty,e2c_transport,edge_exit_check,edge_exit_head_compute,edge_queue,edge_segment_compute,executed_segments_by_node,exit_boundary_id,exit_id,exit_location,is_correct,label,objective_alpha,objective_beta,observed_accuracy,observed_latency,observed_utility,prediction,request_id,request_seq,request_trace,sample_id,sample_index,source_index,start_skew_s,total_latency,unattributed_overhead,user_id
3.3274269104003906,4.6053999994910555e-05,0.22325249999994412,0.22325249999994412,0.17920585600040795,4.6053999994910555e-05,0.4058277559997805,0.22325249999994412,0.22662189999937254,0.001891300000352203,0.40590060499971514,0.22334140000020852,1784693390.6530478,1784693387.0747063,1784693390.6521332,0.0,0.0,0.0,0.0,0.887654721736908,0.17920585600040795,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,4.6053999994910555e-05,unknown,0.0,0.00010019999899668619,0.0005220000002736924,0.001891300000352203,0.2204407999997784,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.40590060499971514,-1.0295030249985757,0,c836021a0a544c0d84f6c2a62ee7a1c4,0,"{'device_compute': 4.6053999994910555e-05, 'd2e_transport': 0.17920585600040795, 'edge_queue': 0.001891300000352203, 'edge_segment_compute': 0.2204407999997784, 'edge_exit_head_compute': 0.0005220000002736924, 'edge_exit_check': 0.00010019999899668619, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.40590060499971514, 'unattributed_overhead': 0.00369439499991131, 'request_id': 'c836021a0a544c0d84f6c2a62ee7a1c4', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.887654721736908, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 4.6053999994910555e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.001891300000352203, 'segment_compute_s': 0.2204407999997784, 'exit_head_compute_s': 0.0005220000002736924, 'exit_check_s': 0.00010019999899668619, 'worker_elapsed_s': 0.22334140000020852}], 'sample_id': 'balanced_000_0000_00000093', 'label': 0, 'correct': True, 'observed_utility': -1.0295030249985757}",balanced_000_0000_00000093,0,93,0.0009145736694335938,0.40590060499971514,0.00369439499991131,0
0.0,3.144300035273773e-05,0.07224329999917245,0.07224329999917245,0.15681372699873464,3.144300035273773e-05,0.23327812699972128,0.07224329999917245,0.07646440000098664,0.002645600001415005,0.23333369800002401,0.07232729999850562,1784693396.0314631,1784693395.780551,1784693396.030551,0.0,0.0,0.0,0.0,0.922726571559906,0.15681372699873464,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,3.144300035273773e-05,unknown,0.0,8.409999827563297e-05,0.0006120999987615505,0.002645600001415005,0.06986109999888868,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.23333369800002401,-0.16666849000012007,0,fde8221ff7854cfaa1187d6f6f9c33b9,1,"{'device_compute': 3.144300035273773e-05, 'd2e_transport': 0.15681372699873464, 'edge_queue': 0.002645600001415005, 'edge_segment_compute': 0.06986109999888868, 'edge_exit_head_compute': 0.0006120999987615505, 'edge_exit_check': 8.409999827563297e-05, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.23333369800002401, 'unattributed_overhead': 0.0032856280035957752, 'request_id': 'fde8221ff7854cfaa1187d6f6f9c33b9', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.922726571559906, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.144300035273773e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.002645600001415005, 'segment_compute_s': 0.06986109999888868, 'exit_head_compute_s': 0.0006120999987615505, 'exit_check_s': 8.409999827563297e-05, 'worker_elapsed_s': 0.07232729999850562}], 'sample_id': 'balanced_000_0001_00000118', 'label': 0, 'correct': True, 'observed_utility': -0.16666849000012007}",balanced_000_0001_00000118,1,118,0.0009121894836425781,0.23333369800002401,0.0032856280035957752,0
0.0,3.236899965486373e-05,0.05510419999882288,0.05510419999882288,0.18433203700169543,3.236899965486373e-05,0.24253503700037982,0.05510419999882288,0.05820299999868439,0.0014953999998397194,0.242590664999625,0.05518269999993208,1784693397.0405354,1784693396.789616,1784693397.039616,0.0,0.0,0.0,0.0,0.9270496368408203,0.18433203700169543,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,3.236899965486373e-05,unknown,0.0,0.00026869999965128954,0.0010552000003372086,0.0014953999998397194,0.05168499999854248,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.242590664999625,-0.21295332499812503,0,3d62f675753544f3898b911b2b8d045e,2,"{'device_compute': 3.236899965486373e-05, 'd2e_transport': 0.18433203700169543, 'edge_queue': 0.0014953999998397194, 'edge_segment_compute': 0.05168499999854248, 'edge_exit_head_compute': 0.0010552000003372086, 'edge_exit_check': 0.00026869999965128954, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.242590664999625, 'unattributed_overhead': 0.003721958999904018, 'request_id': '3d62f675753544f3898b911b2b8d045e', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.9270496368408203, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.236899965486373e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.0014953999998397194, 'segment_compute_s': 0.05168499999854248, 'exit_head_compute_s': 0.0010552000003372086, 'exit_check_s': 0.00026869999965128954, 'worker_elapsed_s': 0.05518269999993208}], 'sample_id': 'balanced_000_0002_00000039', 'label': 0, 'correct': True, 'observed_utility': -0.21295332499812503}",balanced_000_0002_00000039,2,39,0.000919342041015625,0.242590664999625,0.003721958999904018,0
0.0,3.151700002490543e-05,0.07611360000009881,0.07611360000009881,0.0821526179997818,3.151700002490543e-05,0.1609618180000325,0.07611360000009881,0.07880920000025071,0.001406400000632857,0.16101814800003922,0.07619390000036219,1784693398.0625985,1784693397.8116832,1784693398.0616832,0.0,0.0,0.0,0.0,0.8470583558082581,0.0821526179997818,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,3.151700002490543e-05,unknown,0.0,0.00016239999968092889,0.00041369999962626025,0.001406400000632857,0.07500319999962812,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.16101814800003922,0.1949092599998039,0,f42ce45ebc804f7b9516a021ff9d7dfe,3,"{'device_compute': 3.151700002490543e-05, 'd2e_transport': 0.0821526179997818, 'edge_queue': 0.001406400000632857, 'edge_segment_compute': 0.07500319999962812, 'edge_exit_head_compute': 0.00041369999962626025, 'edge_exit_check': 0.00016239999968092889, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.16101814800003922, 'unattributed_overhead': 0.0018483130006643478, 'request_id': 'f42ce45ebc804f7b9516a021ff9d7dfe', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.8470583558082581, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.151700002490543e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.001406400000632857, 'segment_compute_s': 0.07500319999962812, 'exit_head_compute_s': 0.00041369999962626025, 'exit_check_s': 0.00016239999968092889, 'worker_elapsed_s': 0.07619390000036219}], 'sample_id': 'balanced_000_0003_00000195', 'label': 0, 'correct': True, 'observed_utility': 0.1949092599998039}",balanced_000_0003_00000195,3,195,0.0009152889251708984,0.16101814800003922,0.0018483130006643478,0
0.0,3.8886999845999526e-05,0.006150700000944198,0.006150700000944198,0.10754251099933754,3.8886999845999526e-05,0.11689281100007065,0.006150700000944198,0.009350300000733114,0.0017554000005475245,0.11696053099967685,0.006229399999938323,1784693398.9988852,1784693398.7482765,1784693398.9982765,0.0,0.0,0.0,0.0,0.8251248598098755,0.10754251099933754,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,3.8886999845999526e-05,unknown,0.0,0.0001609999999345746,0.0002949999998236308,0.0017554000005475245,0.005261499998596264,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.11696053099967685,0.41519734500161576,0,31db891dcf4d4844854a973e29b31bc7,4,"{'device_compute': 3.8886999845999526e-05, 'd2e_transport': 0.10754251099933754, 'edge_queue': 0.0017554000005475245, 'edge_segment_compute': 0.005261499998596264, 'edge_exit_head_compute': 0.0002949999998236308, 'edge_exit_check': 0.0001609999999345746, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.11696053099967685, 'unattributed_overhead': 0.0019062330015913176, 'request_id': '31db891dcf4d4844854a973e29b31bc7', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.8251248598098755, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.8886999845999526e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.0017554000005475245, 'segment_compute_s': 0.005261499998596264, 'exit_head_compute_s': 0.0002949999998236308, 'exit_check_s': 0.0001609999999345746, 'worker_elapsed_s': 0.006229399999938323}], 'sample_id': 'balanced_000_0004_00000110', 'label': 0, 'correct': True, 'observed_utility': 0.41519734500161576}",balanced_000_0004_00000110,4,110,0.0006086826324462891,0.11696053099967685,0.0019062330015913176,0
0.0,3.235099984522094e-05,0.006250200000067707,0.006250200000067707,0.15732368399858387,3.235099984522094e-05,0.16655338399959874,0.006250200000067707,0.009229700001014862,0.001468499998736661,0.16661114099997576,0.006332000000838889,1784693399.8925653,1784693399.6416502,1784693399.8916502,0.0,0.0,0.0,0.0,0.8254906535148621,0.15732368399858387,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,3.235099984522094e-05,unknown,0.0,0.00014879999980621506,0.000304600000163191,0.001468499998736661,0.00538810000034573,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.16661114099997576,0.1669442950001212,0,6035f59bbf9e486a95156abeb40ec733,5,"{'device_compute': 3.235099984522094e-05, 'd2e_transport': 0.15732368399858387, 'edge_queue': 0.001468499998736661, 'edge_segment_compute': 0.00538810000034573, 'edge_exit_head_compute': 0.000304600000163191, 'edge_exit_check': 0.00014879999980621506, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.16661114099997576, 'unattributed_overhead': 0.0019451060024948674, 'request_id': '6035f59bbf9e486a95156abeb40ec733', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.8254906535148621, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.235099984522094e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.001468499998736661, 'segment_compute_s': 0.00538810000034573, 'exit_head_compute_s': 0.000304600000163191, 'exit_check_s': 0.00014879999980621506, 'worker_elapsed_s': 0.006332000000838889}], 'sample_id': 'balanced_000_0005_00000272', 'label': 0, 'correct': True, 'observed_utility': 0.1669442950001212}",balanced_000_0005_00000272,5,272,0.0009150505065917969,0.16661114099997576,0.0019451060024948674,0
0.0,4.562799995255773e-05,0.010632900000928203,0.010632900000928203,0.11060536000013599,4.562799995255773e-05,0.12515966000000844,0.010632900000928203,0.014554299999872455,0.001448000000891625,0.1252395449996584,0.010709199999837438,1784693400.834722,1784693400.583765,1784693400.833765,0.0,0.0,0.0,0.0,0.8988693356513977,0.11060536000013599,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,4.562799995255773e-05,unknown,0.0,0.0002631999996083323,0.0005759999985457398,0.001448000000891625,0.009190600003421423,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6]}",7,after_block6,edge,True,0,1.0,5.0,1.0,0.1252395449996584,0.37380227500170804,0,aba291a0286047c4adf63f3808800775,6,"{'device_compute': 4.562799995255773e-05, 'd2e_transport': 0.11060536000013599, 'edge_queue': 0.001448000000891625, 'edge_segment_compute': 0.009190600003421423, 'edge_exit_head_compute': 0.0005759999985457398, 'edge_exit_check': 0.0002631999996083323, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.1252395449996584, 'unattributed_overhead': 0.003110756997102726, 'request_id': 'aba291a0286047c4adf63f3808800775', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block6', 'exit_boundary_id': 7, 'exit_location': 'edge', 'confidence': 0.8988693356513977, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 4.562799995255773e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6], 'queue_s': 0.001448000000891625, 'segment_compute_s': 0.009190600003421423, 'exit_head_compute_s': 0.0005759999985457398, 'exit_check_s': 0.0002631999996083323, 'worker_elapsed_s': 0.010709199999837438}], 'sample_id': 'balanced_000_0006_00000234', 'label': 0, 'correct': True, 'observed_utility': 0.37380227500170804}",balanced_000_0006_00000234,6,234,0.0009570121765136719,0.1252395449996584,0.003110756997102726,0
0.0,4.4813000386056956e-05,0.08533040000111214,0.08533040000111214,0.07887803400035409,4.4813000386056956e-05,0.1673696339998969,0.08533040000111214,0.08849159999954281,0.0016464000000269152,0.16744796400007544,0.08541340000010678,1784693401.751515,1784693401.5006125,1784693401.7506125,0.0,0.0,0.0,0.0,0.5738738179206848,0.07887803400035409,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,4.4813000386056956e-05,unknown,0.0,0.0003632000007200986,0.001684900000327616,0.0016464000000269152,0.07964549999996962,"{'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}",10,after_block9,edge,True,0,1.0,5.0,1.0,0.16744796400007544,0.16276017999962278,0,0a35627c5a5d4f448e269829a77d5f4c,7,"{'device_compute': 4.4813000386056956e-05, 'd2e_transport': 0.07887803400035409, 'edge_queue': 0.0016464000000269152, 'edge_segment_compute': 0.07964549999996962, 'edge_exit_head_compute': 0.001684900000327616, 'edge_exit_check': 0.0003632000007200986, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.16744796400007544, 'unattributed_overhead': 0.0051851169982910505, 'request_id': '0a35627c5a5d4f448e269829a77d5f4c', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block9', 'exit_boundary_id': 10, 'exit_location': 'edge', 'confidence': 0.5738738179206848, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 4.4813000386056956e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'queue_s': 0.0016464000000269152, 'segment_compute_s': 0.07964549999996962, 'exit_head_compute_s': 0.001684900000327616, 'exit_check_s': 0.0003632000007200986, 'worker_elapsed_s': 0.08541340000010678}], 'sample_id': 'balanced_000_0007_00000270', 'label': 0, 'correct': True, 'observed_utility': 0.16276017999962278}",balanced_000_0007_00000270,7,270,0.0009024143218994141,0.16744796400007544,0.0051851169982910505,0
0.0,3.9962000300874934e-05,0.03380769999967015,0.03380769999967015,0.06641352199949324,3.9962000300874934e-05,0.10360322199994698,0.03380769999967015,0.03718970000045374,0.0016209999994316604,0.10367412599998715,0.0338871999992989,1784693402.7009828,1784693402.4500759,1784693402.7000759,0.0,0.0,0.0,0.0,0.8913642764091492,0.06641352199949324,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,3.9962000300874934e-05,unknown,0.0,9.130000034929253e-05,0.001017399999909685,0.0016209999994316604,0.0292076999994606,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.10367412599998715,0.4816293700000642,0,e1a807e67ca644b7b8b305573e752144,8,"{'device_compute': 3.9962000300874934e-05, 'd2e_transport': 0.06641352199949324, 'edge_queue': 0.0016209999994316604, 'edge_segment_compute': 0.0292076999994606, 'edge_exit_head_compute': 0.001017399999909685, 'edge_exit_check': 9.130000034929253e-05, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.10367412599998715, 'unattributed_overhead': 0.005283242001041799, 'request_id': 'e1a807e67ca644b7b8b305573e752144', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.8913642764091492, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 3.9962000300874934e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.0016209999994316604, 'segment_compute_s': 0.0292076999994606, 'exit_head_compute_s': 0.001017399999909685, 'exit_check_s': 9.130000034929253e-05, 'worker_elapsed_s': 0.0338871999992989}], 'sample_id': 'balanced_000_0008_00000196', 'label': 0, 'correct': True, 'observed_utility': 0.4816293700000642}",balanced_000_0008_00000196,8,196,0.0009069442749023438,0.10367412599998715,0.005283242001041799,0
0.0,4.446100001587183e-05,0.029434800000672112,0.029434800000672112,0.08446652599923254,4.446100001587183e-05,0.11682912600008422,0.029434800000672112,0.03236260000085167,0.0015175999997154577,0.1169058089999453,0.0295150999991165,1784693403.6089585,1784693403.3580105,1784693403.6080105,0.0,0.0,0.0,0.0,0.9192330241203308,0.08446652599923254,warm-1dev-vit-base-neucls64-pi5-20260722-120937:v1,1,4.446100001587183e-05,unknown,0.0,0.0001239000011992175,0.0006094000000302913,0.0015175999997154577,0.026799699999173754,"{'device': [], 'edge': [0, 1, 2, 3]}",4,after_block3,edge,True,0,1.0,5.0,1.0,0.1169058089999453,0.41547095500027353,0,beb619ef3ef2498483dd0a32ee4228bc,9,"{'device_compute': 4.446100001587183e-05, 'd2e_transport': 0.08446652599923254, 'edge_queue': 0.0015175999997154577, 'edge_segment_compute': 0.026799699999173754, 'edge_exit_head_compute': 0.0006094000000302913, 'edge_exit_check': 0.0001239000011992175, 'e2c_transport': 0.0, 'cloud_queue': 0.0, 'cloud_segment_compute': 0.0, 'cloud_exit_head_compute': 0.0, 'cloud_exit_check': 0.0, 'total_latency': 0.1169058089999453, 'unattributed_overhead': 0.0033442220005781564, 'request_id': 'beb619ef3ef2498483dd0a32ee4228bc', 'user_id': 0, 'prediction': 0, 'exit_id': 'after_block3', 'exit_boundary_id': 4, 'exit_location': 'edge', 'confidence': 0.9192330241203308, 'executed_segments_by_node': {'device': [], 'edge': [0, 1, 2, 3]}, 'nodes': [{'node': 'device', 'executed_segments': [], 'queue_s': 0.0, 'segment_compute_s': 0.0, 'exit_head_compute_s': 0.0, 'exit_check_s': 0.0, 'worker_elapsed_s': 4.446100001587183e-05}, {'node': 'edge', 'executed_segments': [0, 1, 2, 3], 'queue_s': 0.0015175999997154577, 'segment_compute_s': 0.026799699999173754, 'exit_head_compute_s': 0.0006094000000302913, 'exit_check_s': 0.0001239000011992175, 'worker_elapsed_s': 0.0295150999991165}], 'sample_id': 'balanced_000_0009_00000163', 'label': 0, 'correct': True, 'observed_utility': 0.41547095500027353}",balanced_000_0009_00000163,9,163,0.0009479522705078125,0.1169058089999453,0.0033442220005781564,0
