threshold,final_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.0,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.01,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.02,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.03,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.04,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.05,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.06,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.07,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.08,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.09,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.1,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.11,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.12,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.13,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.14,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.15,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.16,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.17,86.51,100.0,63.17,100.0,85.29,100.0,63.17,0.0,0.0,0.0,63.17
0.18,86.51,99.99,63.176317631763176,100.0,85.29,99.99,63.176317631763176,0.01,100.0,0.0,63.18
0.19,86.51,99.93,63.214249974982486,100.0,85.29,99.93,63.214249974982486,0.07,85.71428571428571,0.0,63.23
0.2,86.51,99.85,63.23485227841763,100.0,85.29,99.85,63.23485227841763,0.15,80.0,0.0,63.26
0.21,86.51,99.7,63.24974924774323,100.0,85.29,99.7,63.24974924774323,0.3,66.66666666666667,0.0,63.26
0.22,86.51,99.5,63.336683417085425,100.0,85.29,99.5,63.336683417085425,0.5,70.0,0.0,63.37
