order,model,dataset,label,method,latency_ms,accuracy_pct,utility
1,ResNet-50,CIFAR-10,R-C10,SEAS,119.74,95.59,0.83616
1,ResNet-50,CIFAR-10,R-C10,I-SplitEE,294.31,94.87,0.65439
2,ResNet-50,ImageNet-100,R-IN100,SEAS,240.82,93.22,0.69138
2,ResNet-50,ImageNet-100,R-IN100,I-SplitEE,334.62,77.93,0.44468
3,ResNet-50,NEU-CLS-64,R-NEU,SEAS,201.76,98.52,0.78344
3,ResNet-50,NEU-CLS-64,R-NEU,I-SplitEE,307.07,98.61,0.67903
4,ViT-Base,CIFAR-10,V-C10,SEAS,209.73,98.57,0.77597
4,ViT-Base,CIFAR-10,V-C10,I-SplitEE,310.40,95.53,0.64490
5,ViT-Base,ImageNet-100,V-IN100,SEAS,208.48,94.10,0.73252
5,ViT-Base,ImageNet-100,V-IN100,I-SplitEE,318.28,79.47,0.47642
6,ViT-Base,NEU-CLS-64,V-NEU,SEAS,184.98,98.15,0.79652
6,ViT-Base,NEU-CLS-64,V-NEU,I-SplitEE,225.86,99.72,0.77134
