experiment_id,run_id,seed,state_id,bundle_id,n_users,objective_alpha,objective_beta,state_distance,target_state_distance,planned_mode,actual_training_mode,decision_source,final_decision_source,has_compatible_cache,has_policy_source,foreground_service_ms,foreground_http_ms,final_lookup_ms,background_update_s,background_epochs,immediate_objective,immediate_expected_accuracy,immediate_expected_latency_s,final_objective,final_expected_accuracy,final_expected_latency_s,objective_gap,accuracy_gap_pp,latency_gap_ms,utility_immediate,utility_final,utility_gap,utility_retention,training_status,training_error,convergence_path,immediate_decision_path,final_decision_path
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,resnet50-cifar10,4,1.0,1.0,,,cold,cold,default,cached_dsci:exact,False,False,22.800599923357368,,42.95789997559041,521.5806646347046,107,0.20648480967983607,0.9614,0.9097787975800411,3.2297445025716622,0.979025101390504,0.1715889757475884,3.023259692891826,1.7625101390503994,738.1898218324527,0.20648480967983607,3.2297445025716622,3.023259692891826,0.06393224278744772,idle,,seed_0\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl,seed_0\modes\S0_cold\immediate_decision.json,seed_0\modes\S0_cold\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S1,0,S1,resnet50-cifar10,4,1.0,1.0,0.10000000238611924,0.1,medium,medium,cached_dsci:warm:0.100000,cached_dsci:exact,True,True,27.461100020445883,,19.69749992713332,169.56400775909424,39,3.330434355378682,0.979025101390504,0.14641651254583354,3.3304668526109706,0.979025101390504,0.14640838823776134,3.249723228870849e-05,0.0,0.008124308072204878,3.330434355378682,3.3304668526109706,3.249723228870849e-05,0.9999902424393555,idle,,seed_0\convergence\20260726-184902-887_controlled-5seed-resnet50-cifar10-20260726_seed-0_S1_medium.jsonl,seed_0\modes\S1_medium\immediate_decision.json,seed_0\modes\S1_medium\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S2,0,S2,resnet50-cifar10,4,1.0,1.0,0.02500016447683627,0.025,near,near,cached_dsci:warm:0.025000,cached_dsci:exact,True,True,19.95839993469417,,38.97319990210235,95.36013388633728,30,3.3514383994953647,0.979025101390504,0.14116550151666282,3.3514383994953647,0.979025101390504,0.14116550151666282,0.0,0.0,0.0,3.3514383994953647,3.3514383994953647,0.0,1.0,idle,,seed_0\convergence\20260726-185152-785_controlled-5seed-resnet50-cifar10-20260726_seed-0_S2_near.jsonl,seed_0\modes\S2_near\immediate_decision.json,seed_0\modes\S2_near\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S3,0,S3,resnet50-cifar10,4,1.0,1.0,0.0025000714027551695,0.0025,reuse,reuse,cached_dsci:reuse:0.002500,cached_dsci:reuse:0.002500,True,True,24.730499950237572,,0.0,0.0,0,3.3534480344199684,0.979025101390504,0.14066309278551184,3.3534480344199684,0.979025101390504,0.14066309278551184,0.0,0.0,0.0,3.3534480344199684,3.3534480344199684,0.0,1.0,idle,,,seed_0\modes\S3_reuse\immediate_decision.json,seed_0\modes\S3_reuse\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-1:S0,1,S0,resnet50-cifar10,4,1.0,1.0,,,cold,cold,default,cached_dsci:exact,False,False,19.68040002975613,,18.674699938856065,482.52408504486084,134,0.20648480967983607,0.9614,0.9097787975800411,3.2297445025716622,0.979025101390504,0.1715889757475884,3.023259692891826,1.7625101390503994,738.1898218324527,0.20648480967983607,3.2297445025716622,3.023259692891826,0.06393224278744772,idle,,seed_1\convergence\20260726-185336-272_controlled-5seed-resnet50-cifar10-20260726_seed-1_S0_cold.jsonl,seed_1\modes\S0_cold\immediate_decision.json,seed_1\modes\S0_cold\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-1:S1,1,S1,resnet50-cifar10,4,1.0,1.0,0.10000000238611924,0.1,medium,medium,cached_dsci:warm:0.100000,cached_dsci:exact,True,True,22.625199984759092,,16.88730006571859,122.85283541679382,40,3.330434355378682,0.979025101390504,0.14641651254583354,3.3304668526109706,0.979025101390504,0.14640838823776134,3.249723228870849e-05,0.0,0.008124308072204878,3.330434355378682,3.3304668526109706,3.249723228870849e-05,0.9999902424393555,idle,,seed_1\convergence\20260726-190139-213_controlled-5seed-resnet50-cifar10-20260726_seed-1_S1_medium.jsonl,seed_1\modes\S1_medium\immediate_decision.json,seed_1\modes\S1_medium\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-1:S2,1,S2,resnet50-cifar10,4,1.0,1.0,0.02500016447683627,0.025,near,near,cached_dsci:warm:0.025000,cached_dsci:exact,True,True,21.494699991308153,,22.543599945493042,78.49068450927734,30,3.3514383994953647,0.979025101390504,0.14116550151666282,3.3514383994953647,0.979025101390504,0.14116550151666282,0.0,0.0,0.0,3.3514383994953647,3.3514383994953647,0.0,1.0,idle,,seed_1\convergence\20260726-190342-346_controlled-5seed-resnet50-cifar10-20260726_seed-1_S2_near.jsonl,seed_1\modes\S2_near\immediate_decision.json,seed_1\modes\S2_near\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-1:S3,1,S3,resnet50-cifar10,4,1.0,1.0,0.0025000714027551695,0.0025,reuse,reuse,cached_dsci:reuse:0.002500,cached_dsci:reuse:0.002500,True,True,21.587399998679757,,0.0,0.0,0,3.3534480344199684,0.979025101390504,0.14066309278551184,3.3534480344199684,0.979025101390504,0.14066309278551184,0.0,0.0,0.0,3.3534480344199684,3.3534480344199684,0.0,1.0,idle,,,seed_1\modes\S3_reuse\immediate_decision.json,seed_1\modes\S3_reuse\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-2:S0,2,S0,resnet50-cifar10,4,1.0,1.0,,,cold,cold,default,cached_dsci:exact,False,False,19.46109998971224,,19.131300039589405,446.6543884277344,107,0.20648480967983607,0.9614,0.9097787975800411,3.2297445025716622,0.979025101390504,0.1715889757475884,3.023259692891826,1.7625101390503994,738.1898218324527,0.20648480967983607,3.2297445025716622,3.023259692891826,0.06393224278744772,idle,,seed_2\convergence\20260726-190508-413_controlled-5seed-resnet50-cifar10-20260726_seed-2_S0_cold.jsonl,seed_2\modes\S0_cold\immediate_decision.json,seed_2\modes\S0_cold\final_decision.json
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-2:S1,2,S1,resnet50-cifar10,4,1.0,1.0,0.10000000238611924,0.1,medium,medium,cached_dsci:warm:0.100000,cached_dsci:exact,True,True,21.033099968917668,,17.007800051942468,123.83207774162292,40,3.330434355378682,0.979025101390504,0.14641651254583354,3.3304668526109706,0.979025101390504,0.14640838823776134,3.249723228870849e-05,0.0,0.008124308072204878,3.330434355378682,3.3304668526109706,3.249723228870849e-05,0.9999902424393555,idle,,seed_2\convergence\20260726-191235-514_controlled-5seed-resnet50-cifar10-20260726_seed-2_S1_medium.jsonl,seed_2\modes\S1_medium\immediate_decision.json,seed_2\modes\S1_medium\final_decision.json
