threshold,main_exit_accuracy_pct,overall_accuracy_pct,final_exit_rate_pct,after_layer2_selected_probability_pct,after_layer3_selected_probability_pct,final_exit_selected_probability_pct,final_exit_accuracy_pct,expected_accuracy_pct,overall_policy_accuracy_pct,after_layer2_conditional_accuracy_pct,after_layer2_early_exit_probability_pct,after_layer3_conditional_accuracy_pct,after_layer3_early_exit_probability_pct
0.0,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.01,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.02,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.03,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.04,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.05,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.06,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.07,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.08,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.09,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.1,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.11,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.12,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.13,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.14,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.15,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.16,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.17,86.51,63.17,0.0,100.0,0.0,0.0,,63.17,63.17,63.17,100.0,85.29,100.0
0.18,86.51,63.18,0.0,99.99,0.01,0.0,,63.17999999999999,63.18,63.176317631763176,99.99,85.29,100.0
0.19,86.51,63.23,0.0,99.93,0.07,0.0,,63.230000000000004,63.23,63.214249974982486,99.93,85.29,100.0
0.2,86.51,63.26,0.0,99.85,0.15,0.0,,63.25999999999999,63.26,63.23485227841763,99.85,85.29,100.0
0.21,86.51,63.26,0.0,99.7,0.3,0.0,,63.260000000000005,63.26,63.24974924774323,99.7,85.29,100.0
0.22,86.51,63.37,0.0,99.5,0.5,0.0,,63.370000000000005,63.37,63.33668341708543,99.5,85.29,100.0
0.23,86.51,63.45,0.0,99.29,0.71,0.0,,63.45000000000001,63.45,63.40014100110787,99.29,85.29,100.0
0.24,86.51,63.66,0.0,98.88,1.12,0.0,,63.65999999999999,63.66,63.592233009708735,98.88,85.29,100.0
0.25,86.51,63.81,0.0,98.48,1.52,0.0,,63.81,63.81,63.718521527213646,98.48,85.29,100.0
0.26,86.51,64.25,0.0,97.74,2.26,0.0,,64.25,64.25,64.0474728872519,97.74,85.30559167750324,99.97
0.27,86.51,64.56,0.01,96.97,3.02,0.01,1.4210854715202004e-10,64.56,64.56,64.29823656801072,96.97,85.31265632816408,99.95
0.28,86.51,64.94,0.02,96.21,3.7699999999999996,0.02,0.0,64.94,64.94,64.61906246751897,96.21,85.31972380666467,99.93
0.29,86.51,65.39,0.04,95.23,4.73,0.04,25.00000000001279,65.39,65.39,64.92701879659771,95.23,85.34241089307169,99.88
0.3,86.51,65.9,0.05,94.17,5.78,0.05,20.000000000010232,65.9,65.9,65.34989911861527,94.17,85.36658653846153,99.84
0.31,86.51,66.46,0.08,93.0,6.92,0.08,37.50000000000142,66.46,66.46,65.75268817204301,93.0,85.42209745337878,99.74
