bandwidth_d2e_mbps,strategy,latency_ms,accuracy_pct,b1,b2,tau,feasible
60.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
60.0,Cloud-full,318.27637030217966,86.51,0,0,no_exit,True
60.0,Split-only,166.238551835218,86.51,19,19,no_exit,True
60.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
60.0,Decoupled,122.87743566698015,86.15,19,19,0.76,True
60.0,Joint,122.87743566698015,86.15,19,19,0.76,True
70.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
70.0,Cloud-full,306.4884655402749,86.51,0,0,no_exit,True
70.0,Split-only,166.238551835218,86.51,19,19,no_exit,True
70.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
70.0,Decoupled,122.87743566698015,86.15,19,19,0.76,True
70.0,Joint,122.87743566698015,86.15,19,19,0.76,True
80.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
80.0,Cloud-full,297.64753696884634,86.51,0,0,no_exit,True
80.0,Split-only,166.238551835218,86.51,19,19,no_exit,True
80.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
80.0,Decoupled,122.87743566698015,86.15,19,19,0.76,True
80.0,Joint,122.87743566698015,86.15,19,19,0.76,True
84.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
84.0,Cloud-full,294.7005607783701,86.51,0,0,no_exit,True
84.0,Split-only,166.238551835218,86.51,19,19,no_exit,True
84.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
84.0,Decoupled,122.87743566698015,86.15,19,19,0.76,True
84.0,Joint,122.87743566698015,86.15,19,19,0.76,True
86.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
86.0,Cloud-full,293.32987417814866,86.51,0,0,no_exit,True
86.0,Split-only,166.238551835218,86.51,19,19,no_exit,True
86.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
86.0,Decoupled,122.87743566698015,86.15,19,19,0.76,True
86.0,Joint,122.87743566698015,86.15,19,19,0.76,True
88.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
88.0,Cloud-full,292.02149151430086,86.51,0,0,no_exit,True
88.0,Split-only,166.238551835218,86.51,19,19,no_exit,True
88.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
88.0,Decoupled,122.87743566698015,86.15,19,19,0.76,True
88.0,Joint,122.87743566698015,86.15,19,19,0.76,True
89.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
89.0,Cloud-full,291.38935157558785,86.51,0,0,no_exit,True
89.0,Split-only,166.07651794349866,86.51,0,19,no_exit,True
89.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
89.0,Decoupled,137.19268169915887,86.15,0,19,0.76,True
89.0,Joint,122.87743566698015,86.15,19,19,0.76,True
