solution_npz,solution_meta,bundle_id,model,dataset,bw_d2e_mbps,bw_e2c_mbps
,,resnet50-cifar10-ee-v1,resnet50,cifar10,1.0,10.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,1.0,50.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,1.0,100.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,5.0,10.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,5.0,50.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,5.0,100.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,10.0,10.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,10.0,50.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,10.0,100.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,20.0,10.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,20.0,50.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,20.0,100.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,50.0,10.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,50.0,50.0
,,resnet50-cifar10-ee-v1,resnet50,cifar10,50.0,100.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,1.0,10.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,1.0,50.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,1.0,100.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,5.0,10.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,5.0,50.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,5.0,100.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,10.0,10.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,10.0,50.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,10.0,100.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,20.0,10.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,20.0,50.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,20.0,100.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,50.0,10.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,50.0,50.0
,,resnet50-neucls64-ee-v1,resnet50,neucls64,50.0,100.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,1.0,10.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,1.0,50.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,1.0,100.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,5.0,10.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,5.0,50.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,5.0,100.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,10.0,10.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,10.0,50.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,10.0,100.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,20.0,10.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,20.0,50.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,20.0,100.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,50.0,10.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,50.0,50.0
,,resnet50-imagenet100-ee-v1,resnet50,imagenet100,50.0,100.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,1.0,10.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,1.0,50.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,1.0,100.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,5.0,10.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,5.0,50.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,5.0,100.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,10.0,10.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,10.0,50.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,10.0,100.0
,,deit-small-cifar10-ee-v1,deit-small,cifar10,20.0,10.0
