algorithm,step,current_obj,best_obj,evaluations,elapsed_s,final_obj,batch_mean_obj,batch_std_obj,batch_size
Random,0,-15.805296250030711,-15.805296250030711,1,0.0005830000154674053,,,,
Random,1,-7.902195131411967,-7.902195131411967,2,0.0012440999853424728,,,,
Random,2,-8.478937475364342,-7.902195131411967,3,0.0019404999911785126,,,,
Random,3,-8.556779821482731,-7.902195131411967,4,0.0025606999988667667,,,,
Random,4,-6.622750711948907,-6.622750711948907,5,0.0031405999907292426,,,,
Random,5,-11.189204842984177,-6.622750711948907,6,0.0037924000062048435,,,,
Random,6,-3.5383471809395486,-3.5383471809395486,7,0.004635599965695292,,,,
Random,7,-5.387189885192173,-3.5383471809395486,8,0.00524490000680089,,,,
Random,8,-5.075870343112925,-3.5383471809395486,9,0.006249599973671138,,,,
Random,9,-4.573852646297018,-3.5383471809395486,10,0.006844200019259006,,,,
Random,10,-5.780578985854398,-3.5383471809395486,11,0.007507900008931756,,,,
Random,11,-6.654267082040401,-3.5383471809395486,12,0.008198999974410981,,,,
Random,12,-3.4089328693205205,-3.4089328693205205,13,0.009256899997126311,,,,
Random,13,-9.632280911464356,-3.4089328693205205,14,0.010067900002468377,,,,
Random,14,-1.5301082046105154,-1.5301082046105154,15,0.010902200010605156,,,,
Random,15,-9.39458410942888,-1.5301082046105154,16,0.011437700013630092,,,,
Random,16,-3.8277540742096248,-1.5301082046105154,17,0.011953099980019033,,,,
Random,17,-4.099539321929813,-1.5301082046105154,18,0.01248239999404177,,,,
Random,18,-4.801008551341534,-1.5301082046105154,19,0.013012700015679002,,,,
Random,19,-6.865912872059232,-1.5301082046105154,20,0.013564599968958646,,,,
Random,20,-4.553414621676906,-1.5301082046105154,21,0.014113300014287233,,,,
Random,21,-5.788202487453182,-1.5301082046105154,22,0.014627199969254434,,,,
Random,22,-2.928029467902801,-1.5301082046105154,23,0.01511669997125864,,,,
Random,23,-5.723451665611183,-1.5301082046105154,24,0.015602400002535433,,,,
Random,24,-4.85833443440742,-1.5301082046105154,25,0.01608849997865036,,,,
Random,25,-9.051948032745422,-1.5301082046105154,26,0.016574000008404255,,,,
Random,26,-4.379765197115491,-1.5301082046105154,27,0.017051199974957854,,,,
Random,27,-8.03511417909136,-1.5301082046105154,28,0.01758799998788163,,,,
Random,28,-6.510187242690709,-1.5301082046105154,29,0.01807689998531714,,,,
Random,29,-6.153767983125833,-1.5301082046105154,30,0.018551999994087964,,,,
Random,30,-0.9765111945553304,-0.9765111945553304,31,0.019022799970116466,,,,
Random,31,-2.111817338063456,-0.9765111945553304,32,0.019618399965111166,,,,
Random,32,-9.50884308662463,-0.9765111945553304,33,0.020159800013061613,,,,
Random,33,-4.980098683373185,-0.9765111945553304,34,0.020733200013637543,,,,
Random,34,-6.051331451740145,-0.9765111945553304,35,0.02134099998511374,,,,
Random,35,-6.1650388921926,-0.9765111945553304,36,0.022557099990081042,,,,
Random,36,-6.045291599229967,-0.9765111945553304,37,0.02348620002157986,,,,
Random,37,-5.20360364269244,-0.9765111945553304,38,0.02410410001175478,,,,
Random,38,-4.312477883420421,-0.9765111945553304,39,0.0247708999668248,,,,
Random,39,-6.754694456589986,-0.9765111945553304,40,0.025529999984428287,,,,
Random,40,-5.639376665224749,-0.9765111945553304,41,0.026454299979377538,,,,
