algorithm,batch,evaluations,mean_obj,std_obj,batch_size,statistic,lower_obj,upper_obj
DSCI,0,10,-4.950045486585146,2.1164422858941467,10,episode_mean,-7.0664877724792925,-2.833603200690999
DSCI,1,20,-5.072419885520366,1.358042077096498,10,episode_mean,-6.430461962616865,-3.714377808423868
DSCI,2,30,-6.475866735078919,1.703236831767514,10,episode_mean,-8.179103566846432,-4.7726299033114055
DSCI,3,40,-6.195302089517284,1.6941812789624833,10,episode_mean,-7.889483368479768,-4.5011208105548
DSCI,4,50,-7.568838539371541,3.3085259283894985,10,episode_mean,-10.877364467761039,-4.260312610982043
DSCI,5,60,-5.729903283551915,2.3297703658452864,10,episode_mean,-8.059673649397201,-3.400132917706628
DSCI,6,70,-6.58751953445182,2.184329391934861,10,episode_mean,-8.771848926386681,-4.403190142516959
DSCI,7,80,-7.215843198984636,2.375082338404094,10,episode_mean,-9.590925537388731,-4.840760860580542
DSCI,8,90,-6.9852533050570615,1.962894039933957,10,episode_mean,-8.948147344991018,-5.022359265123105
DSCI,9,100,-5.39050766200434,1.143000436406187,10,episode_mean,-6.533508098410527,-4.247507225598152
DSCI,10,110,-6.255686738265416,2.3352212639781023,10,episode_mean,-8.590908002243518,-3.9204654742873135
DSCI,11,120,-5.740965176232935,1.8975519431607282,10,episode_mean,-7.638517119393663,-3.843413233072207
DSCI,12,130,-5.063637739322587,2.1703903374249855,10,episode_mean,-7.234028076747572,-2.8932474018976015
DSCI,13,140,-5.624351671425261,2.090434147132575,10,episode_mean,-7.714785818557836,-3.533917524292686
DSCI,14,150,-7.329102558363076,1.4537312444892232,10,episode_mean,-8.782833802852299,-5.875371313873853
DSCI,15,160,-6.33710640699128,2.3500481263729305,10,episode_mean,-8.687154533364211,-3.9870582806183497
DSCI,16,170,-6.453690676606897,1.8044919726728978,10,episode_mean,-8.258182649279794,-4.649198703933999
DSCI,17,180,-4.908362788114021,2.1237096560601225,10,episode_mean,-7.032072444174143,-2.784653132053898
DSCI,18,190,-6.707485668563825,2.806643988383315,10,episode_mean,-9.51412965694714,-3.90084168018051
DSCI,19,200,-5.426936270691172,2.23971646624639,10,episode_mean,-7.6666527369375626,-3.187219804444782
DSCI,20,210,-4.88698166309003,2.8331310686170097,10,episode_mean,-7.720112731707039,-2.05385059447302
DSCI,21,220,-5.480330622605531,1.2391753207733252,10,episode_mean,-6.719505943378856,-4.241155301832206
DSCI,22,230,-7.316314708159244,2.16627833992686,10,episode_mean,-9.482593048086105,-5.150036368232384
DSCI,23,240,-4.555509945246181,1.7676651408542154,10,episode_mean,-6.323175086100396,-2.7878448043919652
DSCI,24,250,-6.284884682533187,2.442813247447304,10,episode_mean,-8.727697929980492,-3.842071435085883
DSCI,25,260,-6.213990343416412,2.3747935506005358,10,episode_mean,-8.588783894016947,-3.839196792815876
DSCI,26,270,-5.686152867727071,1.725682441822247,10,episode_mean,-7.411835309549319,-3.9604704259048242
DSCI,27,280,-4.552948200691209,2.1896309017971776,10,episode_mean,-6.742579102488387,-2.3633172988940316
DSCI,28,290,-6.0143078085915604,1.9470271323437915,10,episode_mean,-7.961334940935352,-4.067280676247769
DSCI,29,300,-6.304096884606207,1.4676966611529594,10,episode_mean,-7.7717935457591665,-4.836400223453248
DSCI,30,310,-7.410730895511833,1.6906950123192368,10,episode_mean,-9.10142590783107,-5.720035883192596
DSCI,31,320,-4.923404622659252,1.7225438441800447,10,episode_mean,-6.645948466839297,-3.200860778479207
DSCI,32,330,-5.060859149845664,1.8674535626473803,10,episode_mean,-6.928312712493044,-3.193405587198283
DSCI,33,340,-5.771583411269058,2.33194032517414,10,episode_mean,-8.103523736443197,-3.4396430860949176
DSCI,34,350,-5.319618064803439,2.2706836555372223,10,episode_mean,-7.590301720340662,-3.048934409266217
DSCI,35,360,-6.87063259871842,2.095732011076427,10,episode_mean,-8.966364609794848,-4.774900587641993
DSCI,36,370,-5.671640955561759,1.5582584987604378,10,episode_mean,-7.229899454322196,-4.113382456801321
DSCI,37,380,-4.922649639745454,2.36352377513829,10,episode_mean,-7.286173414883743,-2.559125864607164
DSCI,38,390,-4.061785426443202,2.340995907728905,10,episode_mean,-6.402781334172107,-1.7207895187142972
DSCI,39,400,-5.35778159639087,1.2589404207435169,10,episode_mean,-6.6167220171343875,-4.098841175647353
DSCI,40,410,-3.5862821391127637,2.7217087028834417,10,episode_mean,-6.307990841996205,-0.864573436229322
DSCI,41,420,-4.95678865546453,2.040712773833679,10,episode_mean,-6.997501429298209,-2.916075881630851
DSCI,42,430,-6.098849218294416,2.214369307566495,10,episode_mean,-8.313218525860911,-3.884479910727921
DSCI,43,440,-6.0288864810542275,1.9274923920017084,10,episode_mean,-7.956378873055936,-4.101394089052519
DSCI,44,450,-5.403845153703061,2.3452223900127236,10,episode_mean,-7.749067543715785,-3.058622763690338
DSCI,45,460,-4.000102484544826,2.5061878441349994,10,episode_mean,-6.506290328679825,-1.4939146404098262
DSCI,46,470,-5.283191919767967,3.089813347802211,10,episode_mean,-8.373005267570178,-2.193378571965756
DSCI,47,480,-4.152629550100808,2.1895877492689846,10,episode_mean,-6.342217299369793,-1.9630418008318231
DSCI,48,490,-5.193497471978866,2.0410938002981975,10,episode_mean,-7.234591272277063,-3.152403671680668
DSCI,49,500,-6.25105001811657,1.950785780585826,10,episode_mean,-8.201835798702396,-4.300264237530744
DSCI,50,510,-4.651793489187696,2.434547157873992,10,episode_mean,-7.086340647061688,-2.2172463313137043
DSCI,51,520,-5.177863906289395,3.0813942413125344,10,episode_mean,-8.25925814760193,-2.0964696649768606
DSCI,52,530,-4.676428239227095,1.4651954281798785,10,episode_mean,-6.141623667406973,-3.211232811047216
DSCI,53,540,-3.5469612715809844,1.5202686616008347,10,episode_mean,-5.067229933181819,-2.0266926099801497
DSCI,54,550,-4.779926743113638,2.1530308162361558,10,episode_mean,-6.932957559349793,-2.626895926877482
DSCI,55,560,-4.5147078414788675,2.385239789429564,10,episode_mean,-6.899947630908431,-2.1294680520493037
DSCI,56,570,-4.117133364909765,1.855854429447285,10,episode_mean,-5.972987794357049,-2.26127893546248
DSCI,57,580,-5.721342867681907,1.5896394143064831,10,episode_mean,-7.31098228198839,-4.131703453375423
DSCI,58,590,-4.127393135365767,2.578813377833337,10,episode_mean,-6.706206513199104,-1.5485797575324303
DSCI,59,600,-4.865933150659051,1.71093716746965,10,episode_mean,-6.576870318128701,-3.1549959831894006
DSCI,60,610,-4.344441988556399,1.357304006985153,10,episode_mean,-5.701745995541552,-2.987137981571246
DSCI,61,620,-5.317965009630132,2.456523392086748,10,episode_mean,-7.77448840171688,-2.861441617543384
DSCI,62,630,-5.240163057427337,1.9095276684141318,10,episode_mean,-7.149690725841468,-3.3306353890132048
DSCI,63,640,-5.0936047441599985,2.202949912796207,10,episode_mean,-7.296554656956205,-2.8906548313637916
DSCI,64,650,-5.151437734865466,2.260528404605305,10,episode_mean,-7.4119661394707705,-2.8909093302601607
DSCI,65,660,-3.9803336755814,2.4278579086501,10,episode_mean,-6.4081915842315,-1.5524757669313
DSCI,66,670,-4.174378764450048,2.57241524551138,10,episode_mean,-6.7467940099614285,-1.601963518938668
DSCI,67,680,-4.740856092233194,1.7247287571300889,10,episode_mean,-6.4655848493632835,-3.0161273351031053
DSCI,68,690,-3.89792731683512,1.8230716607179207,10,episode_mean,-5.720998977553041,-2.074855656117199
DSCI,69,700,-4.139583270599654,2.148482589410569,10,episode_mean,-6.288065860010223,-1.991100681189085
DSCI,70,710,-4.277795007640739,2.4127409384432172,10,episode_mean,-6.690535946083957,-1.8650540691975217
DSCI,71,720,-4.466660746497068,1.5428810671697435,10,episode_mean,-6.009541813666811,-2.9237796793273243
DSCI,72,730,-3.393397662966067,1.3325099684322717,10,episode_mean,-4.725907631398339,-2.0608876945337955
DSCI,73,740,-4.403425325675938,2.11625975203532,10,episode_mean,-6.519685077711259,-2.287165573640618
DSCI,74,750,-3.9205192357625607,1.9986920859871307,10,episode_mean,-5.919211321749692,-1.92182714977543
DSCI,75,760,-3.601397533873628,0.7963525994673231,10,episode_mean,-4.397750133340951,-2.805044934406305
DSCI,76,770,-4.276821739464095,1.1611932488076755,10,episode_mean,-5.438014988271771,-3.1156284906564196
DSCI,77,780,-3.589130379537933,1.804888502634661,10,episode_mean,-5.394018882172594,-1.784241876903272
DSCI,78,790,-4.117421904053958,2.5123674045522675,10,episode_mean,-6.629789308606226,-1.6050544995016907
DSCI,79,800,-3.201712144610491,1.766823214183242,10,episode_mean,-4.968535358793733,-1.4348889304272487
DSCI,80,810,-3.5032967859627213,2.0977022840867,10,episode_mean,-5.600999070049421,-1.4055945018760214
DSCI,81,820,-3.6344293729152484,2.3906665959571374,10,episode_mean,-6.025095968872385,-1.243762776958111
DSCI,82,830,-3.004093901822692,1.6161388188533803,10,episode_mean,-4.620232720676072,-1.387955082969312
DSCI,83,840,-3.2120707499532264,1.0195287413389693,10,episode_mean,-4.2315994912921955,-2.1925420086142573
DSCI,84,850,-3.730226701522156,1.593594090803681,10,episode_mean,-5.3238207923258365,-2.136632610718475
DSCI,85,860,-3.596008346311989,2.395704711521366,10,episode_mean,-5.991713057833355,-1.200303634790623
DSCI,86,870,-3.9485093131032123,2.096475326614802,10,episode_mean,-6.044984639718015,-1.8520339864884101
DSCI,87,880,-4.1030634782896325,1.9699075724956114,10,episode_mean,-6.0729710507852435,-2.133155905794021
DSCI,88,890,-3.2320131840171014,1.2159388090166106,10,episode_mean,-4.447951993033712,-2.016074375000491
DSCI,89,900,-3.1948825609742166,2.130062781467869,10,episode_mean,-5.324945342442086,-1.0648197795063474
DSCI,90,910,-4.188052205842646,1.6650045198256165,10,episode_mean,-5.853056725668262,-2.5230476860170294
DSCI,91,920,-3.71616816447711,1.7005648304262475,10,episode_mean,-5.416732994903358,-2.015603334050862
DSCI,92,930,-2.634923706400442,1.3779796946121972,10,episode_mean,-4.012903401012639,-1.2569440117882447
DSCI,93,940,-3.388230696381548,2.0361930289561085,10,episode_mean,-5.424423725337657,-1.3520376674254395
DSCI,94,950,-3.2198469445239795,2.019171435651344,10,episode_mean,-5.239018380175324,-1.2006755088726355
DSCI,95,960,-4.429070019082787,1.9222852599623717,10,episode_mean,-6.351355279045158,-2.5067847591204155
DSCI,96,970,-3.149553283455772,1.6686777984288736,10,episode_mean,-4.818231081884646,-1.4808754850268981
DSCI,97,980,-3.1750999166167935,1.6776572132156127,10,episode_mean,-4.852757129832407,-1.4974427034011808
DSCI,98,990,-3.3131489587323713,1.1082706097620043,10,episode_mean,-4.421419568494375,-2.204878348970367
