algorithm,step,episode,best_obj,current_obj,utility,evaluations,elapsed_s,curve_type,stage
DSCI,10,10,-0.450938737825181,-0.450938737825181,-0.450938737825181,10,0.035249700013082474,dsci_train,training
DSCI,20,20,-0.25420692526137634,-0.25420692526137634,-0.25420692526137634,20,0.06759719998808578,dsci_train,training
DSCI,30,30,-0.25420692526137634,-0.49208103650272367,-0.25420692526137634,30,0.09993590001249686,dsci_train,training
DSCI,40,40,-0.25420692526137634,-0.4823604817641255,-0.25420692526137634,40,0.13157710002269596,dsci_train,training
DSCI,50,50,-0.25420692526137634,-0.2779800865371997,-0.25420692526137634,50,0.16435209999326617,dsci_train,training
DSCI,60,60,-0.25420692526137634,-0.6628313004438514,-0.25420692526137634,60,0.19438569998601452,dsci_train,training
DSCI,70,70,-0.25420692526137634,-1.146589788121006,-0.25420692526137634,70,0.22426420002011582,dsci_train,training
DSCI,80,80,-0.0533806939773428,-0.0533806939773428,-0.0533806939773428,80,0.25479450001148507,dsci_train,training
DSCI,90,90,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,90,0.2859353999956511,dsci_train,training
DSCI,100,100,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,100,0.31748580001294613,dsci_train,training
DSCI,110,110,-0.0533806939773428,-0.2779800865371997,-0.0533806939773428,110,0.34842829999979585,dsci_train,training
DSCI,120,120,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,120,0.3788250000216067,dsci_train,training
DSCI,130,130,-0.0533806939773428,-0.49208103650272367,-0.0533806939773428,130,0.41015449998667464,dsci_train,training
DSCI,140,140,-0.0533806939773428,-0.18162776954242488,-0.0533806939773428,140,0.43915250001009554,dsci_train,training
DSCI,150,150,-0.0533806939773428,-0.5353387875160802,-0.0533806939773428,150,0.47018439997918904,dsci_train,training
DSCI,160,160,-0.031214782269779917,-0.031214782269779917,-0.031214782269779917,160,0.5016439000028186,dsci_train,training
DSCI,170,170,-0.031214782269779917,-0.06590427050721215,-0.031214782269779917,170,0.5303538999869488,dsci_train,training
DSCI,180,180,-0.031214782269779917,-0.20566219536008068,-0.031214782269779917,180,0.559578699991107,dsci_train,training
DSCI,190,190,-0.031214782269779917,-0.5083590703340766,-0.031214782269779917,190,0.5889732000068761,dsci_train,training
DSCI,200,200,-0.031214782269779917,-0.49208103650272367,-0.031214782269779917,200,0.6190487999701872,dsci_train,training
DSCI,201,200,-0.007416107960119267,-0.007416107960119267,-0.007416107960119267,200,4.029131799994502,dsci_train,deterministic_polish
