algorithm,batch,evaluations,mean_obj,std_obj,batch_size,statistic,lower_obj,upper_obj
DSCI,0,10,-1.4508486653780885,1.1401976990206377,10,episode_mean,-2.5910463643987263,-0.3106509663574508
DSCI,1,20,-1.3367686256742408,0.8000426235144547,10,episode_mean,-2.1368112491886952,-0.5367260021597862
DSCI,2,30,-1.7766362299162861,0.9970165920363728,10,episode_mean,-2.773652821952659,-0.7796196378799133
DSCI,3,40,-1.533228606872914,1.0981217088892563,10,episode_mean,-2.6313503157621705,-0.43510689798365765
DSCI,4,50,-2.18546024722366,1.4771945054128914,10,episode_mean,-3.6626547526365516,-0.7082657418107687
DSCI,5,60,-1.823287421956162,0.9945558647049415,10,episode_mean,-2.8178432866611036,-0.8287315572512204
DSCI,6,70,-2.505075377286797,0.9608807876340085,10,episode_mean,-3.4659561649208057,-1.5441945896527884
DSCI,7,80,-1.8746241001838313,1.7542954788722083,10,episode_mean,-3.6289195790560393,-0.12032862131162303
DSCI,8,90,-1.9347646875973177,1.331126615811187,10,episode_mean,-3.2658913034085044,-0.6036380717861307
DSCI,9,100,-2.3285810676384258,1.3327718482267266,10,episode_mean,-3.6613529158651525,-0.9958092194116992
DSCI,10,110,-1.4094293214473925,1.3138614007539253,10,episode_mean,-2.723290722201318,-0.0955679206934672
DSCI,11,120,-1.8836170956601044,1.259004101717553,10,episode_mean,-3.1426211973776574,-0.6246129939425513
DSCI,12,130,-1.604463229543391,1.0889745095784622,10,episode_mean,-2.693437739121853,-0.5154887199649287
DSCI,13,140,-1.5094796099570709,1.1826510574570344,10,episode_mean,-2.692130667414105,-0.3268285525000365
DSCI,14,150,-1.5285195458592082,0.8925934069350308,10,episode_mean,-2.421112952794239,-0.6359261389241775
DSCI,15,160,-0.7476866584377315,0.8044454835406626,10,episode_mean,-1.5521321419783942,0.056758825102931065
DSCI,16,170,-2.052561199510269,1.268319566444592,10,episode_mean,-3.320880765954861,-0.784241633065677
DSCI,17,180,-1.7147392744104952,1.4664529809683124,10,episode_mean,-3.1811922553788077,-0.24828629344218278
DSCI,18,190,-1.8810995589782604,1.2504272179737408,10,episode_mean,-3.1315267769520014,-0.6306723410045196
DSCI,19,200,-1.3314891841267809,0.867764901280342,10,episode_mean,-2.199254085407123,-0.46372428284643885
GA,0,20,-1.7122191762310348,1.1444839888157199,20,population_mean,-2.8567031650467545,-0.5677351874153149
GA,1,38,-0.8629503574746005,0.983728824773884,20,population_mean,-1.8466791822484845,0.12077846729928354
GA,2,56,-0.5375946432487833,0.8334686306934292,20,population_mean,-1.3710632739422124,0.295873987444646
GA,3,74,-0.3736104538846176,0.6556042809569002,20,population_mean,-1.0292147348415177,0.28199382707228254
GA,4,92,-0.28127342519777293,0.7629926659330689,20,population_mean,-1.044266091130842,0.481719240735296
GA,5,110,-0.09235714489586415,0.013662298460908176,20,population_mean,-0.10601944335677232,-0.07869484643495597
GA,6,128,-0.08402724953095086,0.0010012307898960068,20,population_mean,-0.08502848032084687,-0.08302601874105486
GA,7,146,-0.17996839149717608,0.42862170310299663,20,population_mean,-0.6085900946001728,0.24865331160582055
GA,8,164,-0.32125165691314506,0.7624519784281579,20,population_mean,-1.083703635341303,0.44120032151501287
GA,9,182,-0.07350261021486022,0.040146975201420104,20,population_mean,-0.11364958541628033,-0.03335563501344012
GA,10,200,-0.5142656304001973,0.9616163466035635,20,population_mean,-1.4758819770037608,0.4473507162033662
Random,0,20,-1.821746019680393,0.9907322415233045,20,window_mean,-2.8124782612036974,-0.8310137781570884
Random,1,40,-1.584126947385641,0.9264570897310589,20,window_mean,-2.5105840371166996,-0.6576698576545821
Random,2,60,-1.7268568550112882,1.030131156367893,20,window_mean,-2.756988011379181,-0.6967256986433952
Random,3,80,-1.624827925859283,1.3077421037879642,20,window_mean,-2.9325700296472474,-0.31708582207131886
Random,4,100,-1.8543668665853303,1.4596045033477123,20,window_mean,-3.313971369933043,-0.39476236323761804
Random,5,120,-1.5349638923967057,1.1968866875236308,20,window_mean,-2.7318505799203363,-0.3380772048730749
Random,6,140,-1.3770192796041483,1.1018248492127214,20,window_mean,-2.4788441288168697,-0.2751944303914269
Random,7,160,-1.8277175029341872,1.0107873638518607,20,window_mean,-2.8385048667860477,-0.8169301390823265
Random,8,180,-1.5781839555306545,1.2014517121123807,20,window_mean,-2.779635667643035,-0.3767322434182738
Random,9,200,-1.9113952554673421,1.0761271447572698,20,window_mean,-2.987522400224612,-0.8352681107100723
