algorithm,step,current_obj,best_obj,evaluations,elapsed_s
Random,0,-44.421113050084415,-44.421113050084415,1,0.000682600075379014
Random,1,-2.1538375090748447,-2.1538375090748447,2,0.0009939000010490417
Random,2,-41.58986011942021,-2.1538375090748447,3,0.001253599999472499
Random,3,-50.68022843309589,-2.1538375090748447,4,0.001498199999332428
Random,4,-21.552201942322647,-2.1538375090748447,5,0.0017723999917507172
Random,5,-121.02171965803561,-2.1538375090748447,6,0.002077799988910556
Random,6,-45.532087871079675,-2.1538375090748447,7,0.002356800017878413
Random,7,-50.911638726022765,-2.1538375090748447,8,0.0026245000772178173
Random,8,-58.882299130513964,-2.1538375090748447,9,0.0029074999038130045
Random,9,-106.60071052769474,-2.1538375090748447,10,0.0031608999706804752
Random,10,-19.182769907433595,-2.1538375090748447,11,0.0034050000831484795
Random,11,-46.77545921133144,-2.1538375090748447,12,0.0036557000130414963
Random,12,-142.57726678739084,-2.1538375090748447,13,0.003931300016120076
Random,13,-94.22929558907201,-2.1538375090748447,14,0.004224299918860197
Random,14,-94.92751721262549,-2.1538375090748447,15,0.004569600103422999
Random,15,-142.41886203186021,-2.1538375090748447,16,0.004945300053805113
Random,16,-33.21690421019906,-2.1538375090748447,17,0.005216999910771847
Random,17,-8.668530034049203,-2.1538375090748447,18,0.005440599983558059
Random,18,-104.17618328035581,-2.1538375090748447,19,0.0056721000000834465
Random,19,-107.08323211571094,-2.1538375090748447,20,0.0058981000911444426
Random,20,-142.20290309749828,-2.1538375090748447,21,0.006142500089481473
Random,21,-43.39719185170477,-2.1538375090748447,22,0.006673099938780069
Random,22,-45.15110320332965,-2.1538375090748447,23,0.007082199910655618
Random,23,-110.68133974552008,-2.1538375090748447,24,0.007463800022378564
Random,24,-10.89408494068142,-2.1538375090748447,25,0.007863699924200773
Random,25,-44.74872738167456,-2.1538375090748447,26,0.008288099896162748
Random,26,-31.220992121983116,-2.1538375090748447,27,0.008694800082594156
Random,27,-98.82029510246075,-2.1538375090748447,28,0.009087499929592013
Random,28,-98.91826963574556,-2.1538375090748447,29,0.009374500019475818
Random,29,-58.935561849446415,-2.1538375090748447,30,0.00960240000858903
Random,30,-21.670946320459887,-2.1538375090748447,31,0.009823800064623356
Random,31,-62.56354528521578,-2.1538375090748447,32,0.010055999970063567
Random,32,-50.38600983779403,-2.1538375090748447,33,0.010278800036758184
Random,33,-102.89528477761239,-2.1538375090748447,34,0.010525800054892898
Random,34,-98.92733389671936,-2.1538375090748447,35,0.010747600113973022
Random,35,-67.5677447924829,-2.1538375090748447,36,0.010964599903672934
Random,36,0.8073850372216389,0.8073850372216389,37,0.01118170004338026
Random,37,-94.8109799470252,0.8073850372216389,38,0.011397599941119552
Random,38,-50.411063567956795,0.8073850372216389,39,0.011612999951466918
Random,39,-141.9534701924642,0.8073850372216389,40,0.011850500013679266
Random,40,-40.61509307238042,0.8073850372216389,41,0.012092699995264411
Random,41,-31.903568529608965,0.8073850372216389,42,0.012314300052821636
Random,42,-26.41736188097046,0.8073850372216389,43,0.012530799955129623
Random,43,-25.850380941545943,0.8073850372216389,44,0.01274759997613728
Random,44,-43.1343251212808,0.8073850372216389,45,0.01311929989606142
Random,45,-99.64930126478171,0.8073850372216389,46,0.013503100024536252
Random,46,-98.9829628646871,0.8073850372216389,47,0.013874700060114264
Random,47,-50.48415343946774,0.8073850372216389,48,0.014265400124713778
Random,48,-61.40239445477816,0.8073850372216389,49,0.014561699936166406
Random,49,-94.12795210487533,0.8073850372216389,50,0.01493009994737804
Random,50,-103.44180945731341,0.8073850372216389,51,0.015192900085821748
Random,51,-98.55686759487283,0.8073850372216389,52,0.015444600023329258
Random,52,-42.02944014467279,0.8073850372216389,53,0.01569589995779097
Random,53,-20.73998301375114,0.8073850372216389,54,0.015917300013825297
Random,54,-21.808751815379214,0.8073850372216389,55,0.016159000108018517
Random,55,-53.79232378841371,0.8073850372216389,56,0.016389300115406513
Random,56,1.0068976625130184,1.0068976625130184,57,0.01661309995688498
Random,57,-61.816511074790185,1.0068976625130184,58,0.016833500005304813
Random,58,-40.05581261715924,1.0068976625130184,59,0.017058900091797113
Random,59,0.7751356473472025,1.0068976625130184,60,0.017284899950027466
Random,60,-24.05740009238892,1.0068976625130184,61,0.017502699978649616
Random,61,-99.6621598825932,1.0068976625130184,62,0.017724799923598766
Random,62,-98.8556193129346,1.0068976625130184,63,0.017942100064828992
Random,63,-111.14418760943535,1.0068976625130184,64,0.018168200040236115
Random,64,-108.97107029718381,1.0068976625130184,65,0.018387499963864684
Random,65,-22.219016463899294,1.0068976625130184,66,0.018603899981826544
Random,66,-94.81857806596243,1.0068976625130184,67,0.018820200115442276
Random,67,-142.37463209629587,1.0068976625130184,68,0.019036199897527695
Random,68,-10.984324522809835,1.0068976625130184,69,0.019251100020483136
Random,69,-33.60358035433887,1.0068976625130184,70,0.019466100027784705
Random,70,-40.00038001853161,1.0068976625130184,71,0.019682300044223666
Random,71,-21.241387711608173,1.0068976625130184,72,0.019898799946531653
Random,72,-8.897316697041743,1.0068976625130184,73,0.02012469992041588
Random,73,-49.806180467669776,1.0068976625130184,74,0.02034400007687509
Random,74,-97.8592365892149,1.0068976625130184,75,0.02056149998679757
