round_id,exit_location,samples,accuracy,mean_total_ms,rate
20260707-0948,device,2,1.0,4494.342929487175,1.0
20260707-1015,device,2,1.0,1958.424314056174,1.0
20260707-1024,device,200,0.765,32.496515160019044,1.0
20260707-1036,device,200,0.765,35.46788050720352,1.0
20260707-1059,device,200,0.765,39.15692757283978,1.0
20260707-1129,device,200,0.765,42.30420493870042,1.0
20260707-1142,device,200,0.765,34.84515912241477,1.0
cloud_no_ee_20260709-132818,cloud,20,0.7,6150.8697483383,1.0
edge_no_ee_20260709-134941,edge,20,0.7,6270.586439954059,1.0
local_ee_20260709-135341,device,20,0.9,293.9966457473929,1.0
local_no_ee_20260709-132534,device,1000,0.858,27.378882251214236,1.0
ours_schedule_20260709-140607,device,20,0.9,194.6981988978223,1.0
split_dec_no_ee_20260709-141031,cloud,20,0.7,14937.25225305243,1.0
